"State","Year","Month","Deaths","Population","Rate","Period"
"Pennsylvania",2018,3,234,12807060,1.82711723065247,3
"Rhode Island",2018,3,24,1057315,2.2699006445572,3
"South Carolina",2018,3,67,5084127,1.31782703303832,3
"Tennessee",2018,3,109,6770010,1.61004193494544,3
"Texas",2018,3,92,28701845,0.320536885346569,3
"Utah",2018,3,39,3161105,1.23374579458765,3
"Vermont",2018,3,10,626299,1.59668145725923,3
"Virginia",2018,3,97,8517685,1.13880708197122,3
"Washington",2018,3,53,7535591,0.703329042141486,3
"West Virginia",2018,3,67,1805832,3.71020117043003,3
"Wisconsin",2018,3,78,5813568,1.34168895934476,3
"Wyoming",2018,3,4,577737,0.692356556703137,3
"Alabama",2018,4,33,4887871,0.67514056733494,4
"Alaska",2018,4,4,737438,0.542418481282494,4
"Arizona",2018,4,83,7171646,1.15733542899357,4
"Arkansas",2018,4,15,3013825,0.497706402992875,4
"California",2018,4,173,39557045,0.43734308262915,4
"Colorado",2018,4,42,5695564,0.737415996027786,4
"Connecticut",2018,4,72,3572665,2.01530230234293,4
"Delaware",2018,4,27,967171,2.79164697866251,4
"District of Columbia",2018,4,28,702455,3.98602045682642,4
"Florida",2018,4,262,21299325,1.23008592995318,4
"Georgia",2018,4,71,10519475,0.674938625739402,4
"Hawaii",2018,4,4,1420491,0.281592773203069,4
"Idaho",2018,4,10,1754208,0.570057826665937,4
"Illinois",2018,4,172,12741080,1.34996405328277,4
"Indiana",2018,4,94,6691878,1.40468789179958,4
"Iowa",2018,4,4,3156145,0.126736889464838,4
"Kansas",2018,4,11,2911505,0.377811475508371,4
"Kentucky",2018,4,87,4468402,1.94700476814754,4
"Louisiana",2018,4,37,4659978,0.79399516478404,4
"Maine",2018,4,33,1338404,2.46562323483791,4
"Maryland",2018,4,194,6042718,3.21047581568427,4
"Massachusetts",2018,4,157,6902149,2.2746538795381,4
"Michigan",2018,4,151,9995915,1.51061708708007,4
"Minnesota",2018,4,18,5611179,0.320788197988337,4
"Mississippi",2018,4,4,2986530,0.133934700136948,4
"Missouri",2018,4,82,6126452,1.33845821366102,4
"Montana",2018,4,4,1062305,0.376539694343903,4
"Nebraska",2018,4,4,1929268,0.207332521972064,4
"Nevada",2018,4,26,3034392,0.856843809237567,4
"New Hampshire",2018,4,32,1356458,2.35908520573435,4
"New Jersey",2018,4,196,8908520,2.20014098862662,4
"New Mexico",2018,4,21,2095428,1.00218189315023,4
"New York",2018,4,236,19542209,1.20764239088836,4
"North Carolina",2018,4,130,10383620,1.25197185567268,4
"North Dakota",2018,4,4,760077,0.526262470775987,4
"Ohio",2018,4,234,11689442,2.00180641642261,4
"Oklahoma",2018,4,19,3943079,0.481856944788578,4
"Oregon",2018,4,34,4190713,0.811317787689112,4
"Pennsylvania",2018,4,236,12807060,1.84273361723924,4
"Rhode Island",2018,4,24,1057315,2.2699006445572,4
"South Carolina",2018,4,70,5084127,1.37683421362212,4
"Tennessee",2018,4,94,6770010,1.38847653105387,4
"Texas",2018,4,99,28701845,0.344925561405547,4
"Utah",2018,4,38,3161105,1.20211128703412,4
"Vermont",2018,4,4,626299,0.638672582903693,4
"Virginia",2018,4,81,8517685,0.950962614841944,4
"Washington",2018,4,55,7535591,0.729869760712862,4
"West Virginia",2018,4,63,1805832,3.48869662294167,4
"Wisconsin",2018,4,53,5813568,0.91166044673426,4
"Wyoming",2018,4,4,577737,0.692356556703137,4
"Alabama",2018,5,27,4887871,0.552387736910405,5
"Alaska",2018,5,4,737438,0.542418481282494,5
"Arizona",2018,5,76,7171646,1.05972882654833,5
"Arkansas",2018,5,21,3013825,0.696788964190024,5
"California",2018,5,160,39557045,0.404479151564532,5
"Colorado",2018,5,46,5695564,0.807646090887575,5
"Connecticut",2018,5,79,3572665,2.21123447062627,5
"Delaware",2018,5,23,967171,2.37806964849029,5
"District of Columbia",2018,5,22,702455,3.1318732160779,5
"Florida",2018,5,302,21299325,1.41788530857199,5
"Georgia",2018,5,55,10519475,0.522839780502354,5
"Hawaii",2018,5,4,1420491,0.281592773203069,5
"Idaho",2018,5,4,1754208,0.228023130666375,5
"Illinois",2018,5,172,12741080,1.34996405328277,5
"Indiana",2018,5,68,6691878,1.0161571983231,5
"Iowa",2018,5,4,3156145,0.126736889464838,5
"Kansas",2018,5,4,2911505,0.137385991093953,5
"Kentucky",2018,5,66,4468402,1.477038099974,5
"Louisiana",2018,5,28,4659978,0.600861205782517,5
"Maine",2018,5,17,1338404,1.27016954521953,5
"Maryland",2018,5,187,6042718,3.09463390480906,5
"Massachusetts",2018,5,177,6902149,2.56441870495696,5
"Michigan",2018,5,127,9995915,1.27051900701437,5
"Minnesota",2018,5,26,5611179,0.463360730427598,5
"Mississippi",2018,5,12,2986530,0.401804100410845,5
"Missouri",2018,5,85,6126452,1.38742619708765,5
"Montana",2018,5,4,1062305,0.376539694343903,5
"Nebraska",2018,5,10,1929268,0.51833130493016,5
"Nevada",2018,5,27,3034392,0.889799340362089,5
"New Hampshire",2018,5,37,1356458,2.72769226913034,5
"New Jersey",2018,5,225,8908520,2.52567205327035,5
"New Mexico",2018,5,23,2095428,1.09762778773597,5
"New York",2018,5,252,19542209,1.28951645128757,5
"North Carolina",2018,5,153,10383620,1.47347456859939,5
"North Dakota",2018,5,4,760077,0.526262470775987,5
"Ohio",2018,5,273,11689442,2.33544081915972,5
"Oklahoma",2018,5,33,3943079,0.836909430422267,5
"Oregon",2018,5,34,4190713,0.811317787689112,5
"Pennsylvania",2018,5,260,12807060,2.03013025628052,5
"Rhode Island",2018,5,28,1057315,2.64821741865007,5
"South Carolina",2018,5,64,5084127,1.25881985245451,5
"Tennessee",2018,5,107,6770010,1.58049988109323,5
"Texas",2018,5,99,28701845,0.344925561405547,5
"Utah",2018,5,48,3161105,1.51845636256942,5
"Vermont",2018,5,12,626299,1.91601774871108,5
"Virginia",2018,5,101,8517685,1.18576819875353,5
"Washington",2018,5,58,7535591,0.769680838569928,5
"West Virginia",2018,5,57,1805832,3.15643980170913,5
"Wisconsin",2018,5,83,5813568,1.42769466186686,5
"Wyoming",2018,5,4,577737,0.692356556703137,5
"Alabama",2018,6,29,4887871,0.593305347051917,6
"Alaska",2018,6,4,737438,0.542418481282494,6
"Arizona",2018,6,92,7171646,1.28282963213745,6
"Arkansas",2018,6,15,3013825,0.497706402992875,6
"California",2018,6,190,39557045,0.480318992482881,6
"Colorado",2018,6,37,5695564,0.649628377453049,6
"Connecticut",2018,6,95,3572665,2.65907942670248,6
"Delaware",2018,6,25,967171,2.5848583135764,6
"District of Columbia",2018,6,14,702455,1.99301022841321,6
"Florida",2018,6,229,21299325,1.07515144259266,6
"Georgia",2018,6,67,10519475,0.63691391443014,6
"Hawaii",2018,6,4,1420491,0.281592773203069,6
"Idaho",2018,6,12,1754208,0.684069391999124,6
"Illinois",2018,6,157,12741080,1.23223463003136,6
"Indiana",2018,6,97,6691878,1.44951835643148,6
"Iowa",2018,6,12,3156145,0.380210668394513,6
"Kansas",2018,6,17,2911505,0.583890462149301,6
"Kentucky",2018,6,77,4468402,1.72321111663633,6
"Louisiana",2018,6,34,4659978,0.729617178450199,6
"Maine",2018,6,25,1338404,1.86789639002872,6
"Maryland",2018,6,195,6042718,3.22702466009501,6
"Massachusetts",2018,6,181,6902149,2.62237167004074,6
"Michigan",2018,6,160,9995915,1.60065386710471,6
"Minnesota",2018,6,21,5611179,0.37425289765306,6
"Mississippi",2018,6,4,2986530,0.133934700136948,6
"Missouri",2018,6,98,6126452,1.59962079193634,6
"Montana",2018,6,4,1062305,0.376539694343903,6
"Nebraska",2018,6,4,1929268,0.207332521972064,6
"Nevada",2018,6,35,3034392,1.15344358935826,6
"New Hampshire",2018,6,18,1356458,1.32698542822557,6
"New Jersey",2018,6,219,8908520,2.45832079851648,6
"New Mexico",2018,6,35,2095428,1.67030315525038,6
"New York",2018,6,255,19542209,1.30486783761242,6
"North Carolina",2018,6,168,10383620,1.61793285963855,6
"North Dakota",2018,6,4,760077,0.526262470775987,6
"Ohio",2018,6,257,11689442,2.19856516675475,6
"Oklahoma",2018,6,23,3943079,0.583300512112489,6
"Oregon",2018,6,33,4190713,0.787455499815902,6
"Pennsylvania",2018,6,254,12807060,1.9832810965202,6
"Rhode Island",2018,6,28,1057315,2.64821741865007,6
"South Carolina",2018,6,60,5084127,1.1801436116761,6
"Tennessee",2018,6,99,6770010,1.46233166568439,6
"Texas",2018,6,103,28701845,0.358861947724963,6
"Utah",2018,6,35,3161105,1.10720776437353,6
"Vermont",2018,6,4,626299,0.638672582903693,6
"Virginia",2018,6,85,8517685,0.997923731624262,6
"Washington",2018,6,54,7535591,0.716599401427174,6
"West Virginia",2018,6,67,1805832,3.71020117043003,6
"Wisconsin",2018,6,70,5813568,1.2040798353094,6
