City,Weight
Intercept,37.192254261618714
"Alpharetta, GA",0.0779554019395162
"Hayward, CA",0.06724160257472542
"Miami, FL",0.06285953709548393
"Baltimore, MD",0.053124835458701176
"Vacaville, CA",0.04394856372290861
"Paterson, NJ",0.043913921003392656
"Wayne Township, NJ",0.0396926089417031
"Baldwin Park, CA",0.035031381915403934
"Detroit, MI",0.03276292497379776
"Porterville, CA",0.023712318225048795
"Vallejo, CA",0.022769531403380828
"Cherry Hill Township, NJ",0.019477573077819096
"Burbank, CA",0.017048818127881983
"Berkeley, CA",0.01481600368407623
"Fairfield, CA",0.01161857179811778
"Visalia, CA",0.010657468395972444
"Dunwoody, GA",0.010562468121346539
"Arcadia, CA",0.008817554678184186
"Portsmouth, VA",0.007113248673819946
"Antioch, CA",0.005611677769792025
"Richmond, CA",0.0054903991930916815
"West Des Moines, IA",0.004971390989861957
"Edinburg, TX",0.0044474130777304504
"Tucson, AZ",0.0038634681960608235
"Santa Monica, CA",0.003390289606708593
"Gilroy, CA",0.0020756094481851183
"Miami Beach, FL",0.00034125950479545
