City,Weight
Intercept,19.063336636158112
"Vallejo, CA",0.16183699311054142
"Gardena, CA",0.09624583597299327
"Arcadia, CA",0.08911883578799841
"Paterson, NJ",0.0881594554340603
"Alpharetta, GA",0.06248130132313021
"Miami, FL",0.04674321334213205
"Hayward, CA",0.041796182210399054
"Baltimore, MD",0.039058289109042056
"Frisco, TX",0.03797949332007315
"Folsom, CA",0.03398836563368717
"Visalia, CA",0.029927637931979105
"Cherry Hill Township, NJ",0.024238472197920843
"Alhambra, CA",0.024034776488513338
"Burbank, CA",0.023923625918063844
"Waterbury, CT",0.023545141200282994
"Vacaville, CA",0.023272704617789346
"Dunwoody, GA",0.019496477483938797
"Pasadena, CA",0.017096398499010516
"Alameda, CA",0.015249542434646931
"Washington, DC",0.007762447482444736
"Carlsbad, CA",0.004374728647077439
"Chino, CA",0.0027639347889010877
