ID,WEEK,OBSDATE,OVERCROWDING,crowd3groups,crowd2groups,start.time,DAYFREE,stop.time,EVENT,VIOEVENT,REGION,RETURNS,OFFSCAT2_1,OFFSCAT2_2,OFFSCAT2_4,OFFSCAT2_5,PALWEEK,SEX_FLAG,STRIKE,AVCLOCK,CVCLOCK,PRIORSER,PRIORVIO,AGERLSE_G_1,AGERLSE_G_3,REGION_1,REGION_2,REGION_4,BLACK,LEVELTYPE_1,LEVELTYPE_2,LEVELTYPE_3,LEVELTYPE_4,LEVELTYPE_5,AGEFIRST,MALE,MH_FLAG,CONC_DIS_STD,RES_STAB_STD,PUB_ASSI_STD,PUNITIVE_STD,ADJRATE1_STD,SAMHSA_C_STD,MALEPA,BLACKPA
57,104,2004-12-26,181.5,low,low,0,1047,1047,0,0,3,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,20,1,1,-0.5343052745,-0.7927740216,0.1629935354,-0.8042349219,1.2893944979,1.2702687979,1,1
58,104,2004-12-26,183.8,low,low,0,885,885,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,35,1,0,-1.3925709724,-0.8263737559,-0.2253674567,0.5909893513,-0.447514087,-0.9541737437,1,0
59,104,2004-12-26,208.1,high,high,0,179,179,0,0,4,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,25,1,0,-0.5278778076,-0.8405137658,0.2249450237,1.0415363312,-0.458248049,-0.9388327599,1,0
60,104,2004-12-26,185.5,low,low,0,973,973,0,0,2,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,1,0,36,1,0,-1.0493992567,-1.7540096045,1.3002349138,-1.8153613806,-1.0048490763,0.0583311133,1,0
61,104,2004-12-26,208.1,high,high,0,177,177,0,0,4,3,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,19,1,1,1.7983577251,1.571158886,-0.2477452904,0.8957823515,-0.4563067555,-0.2791705132,1,0
62,104,2004-12-26,193.7,medium,high,0,327,327,0,0,1,8,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,31,1,0,-1.0265676975,-0.2512991428,1.6037082672,0.292335242,-0.9706577063,-1.0615606308,1,0
63,104,2004-12-26,207.9,high,high,0,135,135,0,0,4,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,37,1,0,-0.7642459869,-1.2399709225,-0.2472783625,0.5710824728,-0.4055785835,-1.0001966953,0,1
64,30,2003-07-20,198.8,medium,high,0,114,114,1,4,3,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,20,1,0,0.699028492,0.2544392645,-1.0493673086,0.5710824728,-0.4055785835,-1.0001966953,0,1
64,84,2004-08-01,208.4,high,high,114,20,134,1,3,3,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,20,1,0,0.4583950937,0.0308953542,-0.1198432893,-0.8042349219,1.2893944979,1.2395868301,1,0
64,104,2004-12-26,208.4,high,high,134,167,301,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,20,1,0,0.1973220706,0.8936812878,-0.923387289,-0.8042349219,1.2893944979,1.1628818512,1,0
65,104,2004-12-26,180.6,low,low,0,1099,1099,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,47,1,0,-0.8307609558,0.8400897384,-0.9046154022,-0.7997999191,-0.5156743526,-0.0643967465,1,0
66,104,2004-12-26,187.3,low,low,0,267,267,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,34,1,0,-1.0479950905,-0.4596835673,0.7518753409,-0.7997999191,-0.5156743526,-0.4172393382,0,1
