ID,WEEK,OBSDATE,OVERCROWDING,crowd3groups,crowd2groups,start.time,DAYFREE,stop.time,EVENT,VIOEVENT,REGION,RETURNS,OFFSCAT2_1,OFFSCAT2_2,OFFSCAT2_4,OFFSCAT2_5,PALWEEK,SEX_FLAG,STRIKE,AVCLOCK,CVCLOCK,PRIORSER,PRIORVIO,AGERLSE_G_1,AGERLSE_G_3,REGION_1,REGION_2,REGION_4,BLACK,LEVELTYPE_1,LEVELTYPE_2,LEVELTYPE_3,LEVELTYPE_4,LEVELTYPE_5,AGEFIRST,MALE,MH_FLAG,CONC_DIS_STD,RES_STAB_STD,PUB_ASSI_STD,PUNITIVE_STD,ADJRATE1_STD,SAMHSA_C_STD,MALEPA,BLACKPA
21,70,2004-04-25,198.4,medium,high,0,170,170,1,4,3,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,41,1,1,-0.8107789755,-0.3765640557,-0.2481291145,-0.7997999191,-0.5156743526,-0.0950787142,1,0
21,104,2004-12-26,211.8,high,high,170,67,237,0,0,3,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,41,1,1,0.7681510448,-0.1470068693,-0.0862107053,-0.8042349219,1.2893944979,1.1321998835,1,0
22,104,2004-12-26,190.5,medium,high,0,133,133,0,0,2,2,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,45,1,0,-1.1528739929,-0.3620664775,0.1406136304,-0.7084547281,0.6663253307,-1.3070163727,1,1
23,42,2003-10-12,187.2,low,low,0,325,325,1,3,3,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,26,1,0,0.7350304723,0.3558233082,-0.6232197285,-0.8042349219,1.2893944979,1.1628818512,1,1
23,104,2004-12-26,187.2,low,low,325,766,1091,0,0,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26,1,0,0.7350304723,0.3558233082,-0.6232197285,-0.8042349219,1.2893944979,1.1628818512,1,0
24,104,2004-12-26,201.6,medium,high,0,924,924,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,19,1,0,-1.3599802256,0.1008450985,-1.0038700104,0.8747732043,-0.4233145416,0.9634491205,1,0
25,104,2004-12-26,198.7,medium,high,0,736,736,0,0,4,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,46,1,1,-0.5339298844,-0.7483311296,-0.4820052981,1.0415363312,-0.458248049,-0.8467868567,1,0
26,104,2004-12-26,188.6,low,low,0,701,701,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,25,1,0,0.8136617541,0.533387363,-0.1662619561,-0.5132143497,-1.6860771179,-0.9695147276,1,0
27,104,2004-12-26,187.7,low,low,0,1660,1660,0,0,2,1,0,0,0,0,0,0,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,35,1,1,-0.3313705921,0.5779194236,-1.0992976427,0.1178779677,-0.5894348621,-1.3070163727,1,0
28,94,2004-10-10,196.7,medium,high,0,69,69,1,3,1,4,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,21,1,0,0.1124068871,1.7684319019,2.1526241302,0.292335242,-0.9706577063,-0.9388327599,1,0
28,104,2004-12-26,196.7,medium,high,69,146,215,0,0,1,4,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,21,1,0,0.1124068871,1.7684319019,2.1526241302,0.292335242,-0.9706577063,-0.9388327599,1,0
29,100,2004-11-21,203.7,medium,high,0,193,193,1,5,3,3,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,19,1,0,-0.0828991979,0.1972136945,-0.282976985,-0.8042349219,1.2893944979,1.2242457867,1,0
