Age,Year,Deaths,Population
9,2019,10,4061874
9,2020,14,4078668
10,2000,14,4274056
10,2002,16,4243816
10,2004,12,4151951
10,2007,11,4075718
10,2009,11,4133090
10,2011,11,4134144
10,2015,15,4121289
10,2016,12,4144019
10,2017,12,4191919
10,2018,21,4184077
10,2019,17,4060940
10,2020,25,4074173
10,2021,21,4103489
11,1999,22,4036182
11,2000,24,4115093
11,2001,24,4344913
11,2002,22,4295720
11,2003,15,4254047
11,2004,18,4207721
11,2005,26,4149228
11,2006,20,4141970
11,2007,18,4106492
11,2008,14,4055388
11,2009,17,4066605
11,2010,20,4114415
11,2011,17,4195505
11,2012,16,4145034
11,2013,21,4055918
11,2014,37,4085636
11,2015,27,4130328
11,2016,34,4131222
11,2017,42,4157962
11,2018,54,4203007
11,2019,37,4189261
11,2020,42,4072994
11,2021,48,4189406
11,2022,27,4189406
12,1999,32,4009910
12,2000,43,4075842
12,2001,39,4183955
12,2002,43,4380351
12,2003,38,4332987
12,2004,37,4293550
12,2005,39,4251162
12,2006,30,4196880
12,2007,25,4192002
12,2008,25,4159477
12,2009,48,4110576
12,2010,36,4106243
12,2011,42,4124205
12,2012,46,4206939
12,2013,64,4155875
12,2014,68,4068790
12,2015,56,4101021
12,2016,68,4139558
12,2017,77,4145953
12,2018,101,4168485
12,2019,98,4208387
12,2020,93,4200977
12,2021,108,4279315
12,2022,84,4279315
13,1999,55,4003607
13,2000,94,4010850
13,2001,84,4113191
13,2002,76,4209025
13,2003,68,4401393
13,2004,88,4350199
13,2005,65,4308851
13,2006,57,4264733
13,2007,49,4207326
13,2008,64,4200016
13,2009,75,4164413
13,2010,78,4118013
13,2011,78,4122078
13,2012,82,4136252
13,2013,117,4217964
13,2014,132,4169346
13,2015,118,4084306
13,2016,121,4109703
13,2017,149,4155315
13,2018,164,4156887
13,2019,174,4175221
13,2020,172,4219921
13,2021,158,4442581
13,2022,149,4442581
14,1999,126,4015012
14,2000,125,4052231
14,2001,122,4059370
14,2002,103,4132509
14,2003,114,4221884
14,2004,128,4408259
14,2005,131,4353216
14,2006,106,4308450
14,2007,77,4259504
14,2008,109,4198094
14,2009,108,4185880
14,2010,126,4165982
14,2011,134,4128920
14,2012,153,4135274
14,2013,176,4147439
14,2014,179,4232480
14,2015,193,4185386
14,2016,201,4093731
14,2017,237,4127305
14,2018,256,4167071
14,2019,208,4164459
14,2020,249,4186358
14,2021,263,4432993
14,2022,225,4432993
15,1999,162,3939152
15,2000,183,4019404
15,2001,168,4083878
15,2002,164,4097876
15,2003,163,4172654
15,2004,177,4264863
15,2005,187,4456969
15,2006,191,4406515
15,2007,158,4364495
15,2008,174,4318982
15,2009,204,4259907
15,2010,175,4242820
15,2011,206,4156836
15,2012,244,4144014
15,2013,233,4147445
15,2014,244,4163723
15,2015,252,4249742
15,2016,308,4196991
15,2017,349,4114560
15,2018,360,4141218
15,2019,285,4175459
15,2020,323,4175920
15,2021,318,4355926
15,2022,293,4355926
16,1999,265,4020305
16,2000,280,3975021
16,2001,248,4108304
16,2002,241,4126961
16,2003,231,4139141
16,2004,269,4213762
16,2005,226,4308145
16,2006,237,4502997
16,2007,229,4452250
16,2008,261,4411176
16,2009,263,4365338
16,2010,267,4316139
16,2011,289,4245479
16,2012,268,4174274
16,2013,286,4158116
16,2014,313,4167234
16,2015,328,4184296
16,2016,370,4265224
16,2017,438,4222691
16,2018,402,4130744
16,2019,382,4150420
16,2020,384,4187874
16,2021,389,4310462
16,2022,364,4310462
17,1999,333,4031224
17,2000,319,4046012
17,2001,332,4028736
17,2002,305,4148590
17,2003,274,4160313
17,2004,298,4167308
17,2005,334,4239509
17,2006,293,4331493
17,2007,267,4521045
17,2008,328,4467060
17,2009,326,4421341
17,2010,293,4395295
17,2011,347,4330851
17,2012,347,4265702
17,2013,335,4191188
17,2014,359,4184706
17,2015,406,4194286
17,2016,414,4205001
17,2017,469,4296575
17,2018,467,4241936
17,2019,433,4142425
17,2020,371,4164893
