Age,Year,Deaths,Population
0,1999,21,3795762
0,2000,18,3805648
0,2001,22,4012658
0,2002,29,3951461
0,2003,25,3975871
0,2004,30,4014258
0,2005,35,4004393
0,2006,44,4041738
0,2007,33,4147997
0,2008,21,4132735
0,2009,32,4003587
0,2010,23,3944153
0,2011,24,3996537
0,2012,32,3943077
0,2013,30,3941783
0,2014,24,3948350
0,2015,29,3978038
0,2016,34,3970145
0,2017,36,3939295
0,2018,32,3848208
0,2019,50,3783052
0,2020,65,3735010
0,2021,76,3564493
1,1999,12,3785088
1,2001,11,3855407
1,2002,11,4004674
1,2003,16,3936139
1,2004,13,3953063
1,2005,13,3987032
1,2006,13,3972124
1,2007,24,4002215
1,2008,28,4100756
1,2009,18,4078797
1,2010,21,3978070
1,2011,19,3969022
1,2012,22,3981523
1,2013,23,3955942
1,2014,19,3962123
1,2015,27,3968564
1,2016,25,3995008
1,2017,22,3975252
1,2018,16,3912900
1,2019,32,3829599
1,2020,35,3773884
1,2021,80,3702936
2,2003,11,4002836
2,2005,10,3952632
2,2006,12,3988119
2,2007,11,3973479
2,2008,11,4004146
2,2010,11,4096929
2,2011,13,3971760
2,2013,12,3989135
2,2014,15,3957772
2,2015,17,3966583
2,2016,14,3992154
2,2018,11,3991437
2,2019,10,3922044
2,2020,19,3853025
2,2021,27,3767428
3,2008,10,3992320
3,2020,13,3921526
3,2021,11,3856743
12,2007,11,4192002
12,2020,10,4200977
12,2021,11,4279315
13,2000,12,4010850
13,2001,12,4113191
13,2003,10,4401393
13,2006,12,4264733
13,2007,12,4207326
13,2008,12,4200016
13,2009,10,4164413
13,2010,14,4118013
13,2011,10,4122078
13,2014,10,4169346
13,2015,17,4084306
13,2016,15,4109703
13,2017,19,4155315
13,2018,12,4156887
13,2019,14,4175221
13,2020,24,4219921
13,2021,28,4442581
14,1999,10,4015012
14,2000,14,4052231
14,2001,16,4059370
14,2002,19,4132509
14,2003,12,4221884
14,2004,31,4408259
14,2005,21,4353216
14,2006,23,4308450
14,2007,29,4259504
14,2008,21,4198094
14,2009,16,4185880
14,2010,24,4165982
14,2011,19,4128920
14,2012,21,4135274
14,2013,11,4147439
14,2014,15,4232480
14,2015,17,4185386
14,2016,21,4093731
14,2017,34,4127305
14,2018,25,4167071
14,2019,21,4164459
14,2020,45,4186358
14,2021,42,4432993
15,1999,19,3939152
15,2000,23,4019404
15,2001,30,4083878
15,2002,32,4097876
15,2003,32,4172654
15,2004,55,4264863
15,2005,46,4456969
15,2006,42,4406515
15,2007,54,4364495
15,2008,55,4318982
15,2009,39,4259907
15,2010,48,4242820
15,2011,39,4156836
15,2012,33,4144014
15,2013,36,4147445
15,2014,36,4163723
15,2015,37,4249742
15,2016,29,4196991
15,2017,32,4114560
15,2018,42,4141218
15,2019,49,4175459
15,2020,85,4175920
15,2021,87,4355926
16,1999,33,4020305
16,2000,53,3975021
16,2001,68,4108304
16,2002,60,4126961
16,2003,78,4139141
16,2004,64,4213762
16,2005,76,4308145
16,2006,106,4502997
16,2007,100,4452250
16,2008,78,4411176
16,2009,88,4365338
16,2010,80,4316139
16,2011,74,4245479
16,2012,62,4174274
16,2013,42,4158116
16,2014,48,4167234
16,2015,62,4184296
16,2016,71,4265224
16,2017,60,4222691
16,2018,59,4130744
16,2019,83,4150420
16,2020,146,4187874
16,2021,165,4310462
17,1999,63,4031224
17,2000,66,4046012
17,2001,89,4028736
17,2002,97,4148590
17,2003,108,4160313
17,2004,130,4167308
17,2005,132,4239509
17,2006,134,4331493
17,2007,145,4521045
17,2008,144,4467060
17,2009,127,4421341
17,2010,122,4395295
17,2011,123,4330851
17,2012,90,4265702
17,2013,108,4191188
17,2014,95,4184706
17,2015,99,4194286
17,2016,120,4205001
17,2017,99,4296575
17,2018,111,4241936
17,2019,111,4142425
17,2020,242,4164893
17,2021,304,4333375
18,1999,109,3989843
18,2000,128,4051598
18,2001,130,4102851
18,2002,159,4084316
18,2003,188,4201835
18,2004,248,4214061
18,2005,203,4225126
18,2006,260,4301050
18,2007,302,4394638
18,2008,299,4588123
18,2009,232,4534634
18,2010,250,4500855
18,2011,250,4396167
18,2012,236,4354017
18,2013,212,4285609
18,2014,198,4225590
18,2015,243,4217995
18,2016,259,4219303
18,2017,233,4241226
18,2018,219,4319722
18,2019,235,4255827
18,2020,446,4159857
18,2021,505,4292780
19,1999,143,4104078
19,2000,182,4127855
19,2001,222,4132515
19,2002,277,4152627
19,2003,263,4123223
19,2004,317,4242558
19,2005,330,4256465
19,2006,338,4265654
19,2007,358,4335388
19,2008,379,4425539
19,2009,326,4611590
19,2010,345,4585234
19,2011,367,4514710
19,2012,266,4422695
19,2013,294,4376606
19,2014,305,4326394
19,2015,355,4262584
19,2016,417,4243480
19,2017,413,4256608
19,2018,332,4263601
19,2019,366,4330439
19,2020,642,4272385
19,2021,664,4272123
20,1999,178,3925495
20,2000,204,4049448
20,2001,221,4156725
20,2002,278,4158896
20,2003,321,4156877
20,2004,294,4131771
20,2005,372,4241197
20,2006,479,4248095
20,2007,458,4242404
20,2008,427,4302988
20,2009,406,4383628
20,2010,460,4519129
20,2011,455,4596113
20,2012,429,4543774
20,2013,424,4445721
20,2014,429,4418887
20,2015,474,4363440
20,2016,594,4286221
20,2017,548,4276745
20,2018,513,4273822
20,2019,566,4269683
20,2020,840,4344572
20,2021,878,4346679
21,1999,206,3763401
21,2000,221,3841082
21,2001,248,4133311
21,2002,330,4182678
21,2003,355,4167554
21,2004,418,4180191
21,2005,433,4150658
21,2006,494,4258790
21,2007,486,4257371
21,2008,508,4251950
21,2009,474,4307414
21,2010,540,4354294
21,2011,549,4592336
21,2012,551,4627509
21,2013,534,4568663
21,2014,548,4489746
21,2015,597,4456790
21,2016,805,4386854
21,2017,743,4318304
21,2018,608,4292514
21,2019,668,4278323
21,2020,959,4283150
21,2021,979,4347378
22,1999,192,3694190
22,2000,216,3758648
22,2001,265,3919316
22,2002,319,4145736
22,2003,409,4175294
22,2004,434,4173077
22,2005,457,4176096
22,2006,535,4141532
22,2007,553,4236043
22,2008,549,4232792
22,2009,539,4217667
22,2010,538,4264642
22,2011,644,4411032
22,2012,597,4623739
22,2013,615,4655731
22,2014,640,4612322
22,2015,721,4529472
22,2016,923,4480904
22,2017,934,4420763
22,2018,780,4334743
22,2019,803,4298772
22,2020,1105,4293020
22,2021,1181,4278923
23,1999,180,3562469
23,2000,232,3673582
23,2001,266,3798554
23,2002,328,3936927
23,2003,413,4147777
23,2004,464,4192674
23,2005,485,4183656
23,2006,575,4186427
23,2007,606,4143940
23,2008,575,4237432
23,2009,595,4230115
23,2010,610,4198571
23,2011,699,4311760
23,2012,666,4443539
23,2013,780,4652806
23,2014,786,4698584
23,2015,840,4652266
23,2016,1084,4552952
23,2017,1201,4515308
23,2018,939,4438724
23,2019,916,4341644
23,2020,1279,4315220
23,2021,1274,4271130
24,1999,228,3645874
24,2000,242,3641241
24,2001,274,3749380
24,2002,335,3819528
24,2003,452,3944186
24,2004,489,4167847
24,2005,561,4208348
24,2006,689,4201291
24,2007,613,4198241
24,2008,578,4155450
24,2009,663,4245298
24,2010,674,4249363
24,2011,690,4242591
24,2012,725,4344642
24,2013,751,4472517
24,2014,843,4692635
24,2015,973,4737345
24,2016,1257,4674097
24,2017,1343,4587515
24,2018,1142,4533776
24,2019,1094,4444518
24,2020,1470,4358793
24,2021,1490,4279887
25,1999,214,3657407
25,2000,251,3744539
25,2001,258,3659719
25,2002,322,3779169
25,2003,395,3842468
25,2004,485,3981519
25,2005,520,4206096
25,2006,691,4254643
25,2007,675,4245572
25,2008,648,4246210
25,2009,610,4204602
25,2010,677,4262350
25,2011,772,4267827
25,2012,719,4275138
25,2013,812,4372201
25,2014,900,4509594
25,2015,1120,4729564
25,2016,1409,4758352
25,2017,1487,4708854
25,2018,1302,4606281
25,2019,1269,4539058
25,2020,1626,4461006
25,2021,1687,4309146
26,1999,241,3666228
26,2000,261,3619660
26,2001,277,3768152
26,2002,399,3669915
26,2003,403,3771710
26,2004,466,3838225
26,2005,573,3966722
26,2006,718,4186325
26,2007,678,4222850
26,2008,675,4206583
26,2009,725,4197922
26,2010,792,4152305
26,2011,814,4311255
26,2012,830,4298788
26,2013,849,4300520
26,2014,972,4406472
26,2015,1082,4544416
26,2016,1500,4747254
26,2017,1601,4794326
26,2018,1455,4728714
26,2019,1407,4611220
26,2020,1846,4555511
26,2021,1881,4387353
27,1999,290,3935064
27,2000,283,3789800
27,2001,308,3668700
27,2002,353,3791713
27,2003,428,3688646
27,2004,482,3801676
27,2005,523,3870040
27,2006,719,4004498
27,2007,754,4224395
27,2008,737,4265165
27,2009,701,4250014
27,2010,766,4248869
27,2011,823,4181448
27,2012,837,4339574
27,2013,885,4322247
27,2014,926,4332545
27,2015,1172,4439766
27,2016,1561,4559206
27,2017,1789,4784135
27,2018,1667,4813980
27,2019,1545,4733869
27,2020,1979,4628618
27,2021,2089,4481186
28,1999,304,4146484
28,2000,288,3984812
28,2001,355,3766129
28,2002,372,3682001
28,2003,415,3794838
28,2004,470,3697495
28,2005,573,3805526
28,2006,637,3874154
28,2007,746,3999799
28,2008,774,4215620
28,2009,756,4250613
28,2010,818,4215249
28,2011,860,4255686
28,2012,837,4206614
28,2013,890,4360245
28,2014,1032,4351851
28,2015,1175,4364669
28,2016,1644,4451507
28,2017,1876,4595406
28,2018,1740,4801711
28,2019,1684,4818725
28,2020,2159,4751001
28,2021,2288,4554775
29,1999,403,4169874
29,2000,367,4242525
29,2001,354,3956647
29,2002,404,3768542
29,2003,445,3673923
29,2004,475,3788140
29,2005,511,3686326
29,2006,643,3790391
29,2007,693,3850082
29,2008,737,3969090
29,2009,835,4175077
29,2010,856,4223076
29,2011,916,4263578
29,2012,941,4278212
29,2013,895,4224985
29,2014,1031,4387476
29,2015,1282,4383139
29,2016,1534,4374565
29,2017,1819,4487739
29,2018,1716,4611070
29,2019,1795,4806144
29,2020,2397,4835107
29,2021,2553,4660017
30,1999,356,4181212
30,2000,357,4289970
30,2001,401,4218260
30,2002,443,3994164
30,2003,450,3813536
30,2004,440,3737940
30,2005,539,3866581
30,2006,637,3779051
30,2007,671,3894527
30,2008,697,3970191
30,2009,757,4104133
30,2010,852,4285668
30,2011,959,4224516
30,2012,940,4283410
30,2013,975,4294831
30,2014,1024,4250780
30,2015,1219,4417209
30,2016,1594,4392155
30,2017,1777,4410631
30,2018,1812,4501282
30,2019,1808,4614384
30,2020,2490,4821081
30,2021,2699,4730811
31,1999,377,3936187
31,2000,385,4011575
31,2001,397,4302689
31,2002,508,4210913
31,2003,534,3973726
31,2004,462,3790984
31,2005,520,3705594
31,2006,682,3824265
31,2007,661,3724612
31,2008,674,3828094
31,2009,720,3890200
