Band,To,Area,Land,PctLand,StreetKm,StreetDens,Theft,Robbery,PctReach,Crimes,PerKm,PerSqKm
0-100,100,0.2003283849793846,0.2003283849793846,100.0,4.606849680987395,22.99648989563549,652,68,95.21516185811537,720,156.2890152399505,3594.098759764343
100-200,200,0.26304020411851015,0.26304020411851015,100.0,6.084947996313004,23.133148093100974,838,36,85.8561152933116,874,143.63310919494705,3322.6859860792533
200-300,300,0.3257520232564184,0.3257520232564184,100.0,7.299792763572073,22.409048117641255,853,59,78.22777052215633,912,124.93505357455146,2799.675627132212
300-400,400,0.38846384239579274,0.38846384239579274,100.0,8.991021205677754,23.14506583219425,2099,115,66.95975941292347,2214,246.24566546477254,5699.372138074642
400-500,500,0.4511747809145821,0.4511747809145821,100.0,10.898713482919618,24.156300271984836,918,79,63.739851416430845,997,91.47868705443912,2209.7866329739636
500-600,600,0.5138737939631264,0.5138737939631264,100.0,11.39551569989058,22.175708965435742,3708,99,53.42827952103109,3807,334.0787815365438,7408.433830881782
600-700,700,0.5765698660190259,0.5675839809922617,98.4414924267881,12.00518929349056,20.821742517314295,1306,92,44.63469403946466,1398,116.44964238573247,2424.6844699890507
700-800,800,0.6392664304625038,0.577892107274999,90.39925760795839,11.497186808573264,17.984968802843518,2691,140,44.378906042061985,2831,246.2341481560489,4428.513472781287
800-900,900,0.701963892051572,0.5930846961091847,84.48934522484126,13.470386984136992,19.18957247896071,3354,165,36.82568595937018,3519,261.23971079257393,5013.078364636832
900-1000,1000,0.7646618354747272,0.5808736628052382,75.96477761239552,13.429212988430422,17.562290107094366,4199,126,37.81478136725496,4325,322.0590814760394,5656.095020506546
