ID,SeriousScore,Date
88,1,1961-01-13
88,19,1961-06-28
88,100,1961-09-24
88,19,1961-10-18
88,30,1961-10-21
88,22,1961-11-04
88,200,1961-11-22
88,19,1962-02-10
89,1,1959-10-11
90,22,1953-11-19
90,19,1961-10-29
91,700,1962-01-13
91,400,1962-04-15
91,81,1962-08-15
91,82,1962-12-15
91,19,1963-04-06
92,100,1958-04-28
92,1,1958-12-09
92,22,1960-02-06
92,100,1960-06-04
92,353,1960-08-01
92,600,1960-10-16
92,600,1960-10-16
92,1,1962-05-26
92,1,1962-07-09
92,834,1962-09-13
92,22,1962-11-26
93,3,1953-04-03
93,152,1953-06-24
93,60,1953-06-24
93,1,1958-03-05
93,220,1958-04-30
93,1,1958-05-12
93,30,1959-04-15
93,235,1961-07-21
93,1,1961-09-20
94,100,1959-07-28
95,1,1959-02-09
95,1,1959-07-28
96,22,1961-09-30
96,1,1961-10-24
96,1,1962-05-19
97,100,1955-04-12
97,100,1956-06-30
97,19,1956-08-29
97,200,1956-09-19
97,1,1956-09-19
98,1,1961-06-09
98,100,1961-06-20
98,30,1961-10-10
98,30,1962-04-30
99,1,1959-07-24
100,22,1959-07-31
100,30,1961-06-23
100,1,1961-09-29
100,1,1962-09-23
100,19,1962-09-29
100,30,1962-12-28
100,1,1963-08-22
101,19,1961-03-11
101,100,1962-08-15
102,19,1957-06-18
102,200,1957-06-27
102,400,1962-06-04
103,400,1962-03-27
103,30,1962-03-27
103,1,1962-04-17
104,152,1962-05-31
105,400,1959-06-12
105,100,1960-01-09
105,200,1961-09-09
105,40,1961-09-16
105,353,1961-10-07
105,400,1961-11-03
105,20,1961-12-05
105,1,1962-04-05
105,63,1962-05-18
105,19,1962-06-29
105,22,1962-09-15
105,357,1962-09-30
106,300,1959-08-12
107,400,1959-04-30
108,22,1961-09-18
108,22,1961-12-14
109,1,1960-01-17
109,63,1960-12-05
110,19,1961-06-06
110,22,1963-10-08
111,40,1963-05-25
112,200,1962-07-04
113,100,1960-05-14
114,1,1956-07-06
115,1,1958-06-03
115,200,1958-06-04
115,1,1960-02-23
115,1,1960-05-02
115,200,1960-06-24
115,1,1961-03-22
115,100,1961-04-15
115,1,1961-05-10
115,1,1962-01-09
116,200,1959-10-10
116,200,1961-04-05
116,19,1963-02-06
117,400,1963-05-23
118,1,1961-06-22
118,1,1962-06-03
119,300,1961-02-16
120,1,1962-01-28
121,1,1962-07-01
123,1,1962-05-07
124,3,1957-09-15
124,100,1959-05-25
125,30,1954-11-03
125,1,1957-05-06
125,1,1957-08-06
125,152,1959-07-04
125,152,1959-09-01
125,152,1959-12-23
125,152,1961-01-18
125,152,1961-04-19
125,152,1961-07-03
125,152,1961-08-31
125,152,1962-02-19
125,152,1962-05-16
125,1,1962-08-01
125,235,1963-03-21
125,235,1963-11-06
126,19,1960-04-15
127,357,1961-08-22
127,357,1962-07-09
128,1,1959-07-15
129,1,1958-06-22
129,63,1961-04-07
129,1,1961-04-26
129,200,1961-04-30
129,1000,1961-05-06
129,19,1962-03-23
129,1,1962-04-19
129,1,1962-04-25
129,19,1962-11-17
130,60,1953-06-16
130,60,1953-07-09
130,1,1958-10-30
131,200,1957-04-16
132,1,1962-05-24
133,1,1957-02-07
134,800,1959-06-07
134,59,1960-08-14
134,100,1960-10-05
134,19,1960-11-02
134,30,1961-02-06
134,400,1961-06-13
134,400,1961-06-15
134,800,1961-06-17
135,400,1962-05-18
136,3,1956-05-12
136,235,1957-04-20
136,1,1957-05-21
136,19,1957-12-14
137,200,1956-11-15
137,300,1958-06-24
137,300,1958-09-26
137,300,1958-11-06
137,200,1960-11-19
137,235,1962-09-04
138,300,1957-12-02
138,1,1960-04-10
138,100,1960-09-13
138,1,1961-03-26
138,1,1961-03-27
138,100,1961-08-13
139,220,1959-10-19
139,41,1960-04-24
139,22,1961-05-13
139,200,1961-07-11
140,1,1957-07-08
140,600,1958-09-19
140,1,1960-10-11
140,30,1960-10-28
140,152,1961-04-18
140,152,1961-09-25
141,19,1962-03-05
142,1,1960-04-15
143,300,1961-12-15
144,1,1962-02-18
145,1,1958-06-23
146,356,1963-01-07
147,3,1955-03-17
148,19,1961-03-20
148,700,1961-12-15
148,1,1962-11-26
148,400,1963-01-18
148,74,1963-03-25
148,19,1963-07-12
148,200,1963-11-11
148,353,1963-11-14
149,185,1961-10-13
150,1,1960-11-20
150,200,1963-02-13
151,30,1962-03-12
151,1,1962-08-26
151,100,1962-09-09
152,100,1956-01-12
152,100,1959-05-22
152,114,1963-05-01
153,10,1953-08-11
153,100,1957-11-16
153,20,1958-03-26
153,19,1959-03-09
153,114,1961-10-12
153,81,1961-12-01
153,400,1961-12-23
154,400,1960-12-03
155,200,1956-07-09
155,152,1957-01-08
155,20,1959-04-02
155,400,1960-07-18
155,100,1960-09-25
155,152,1961-04-07
155,22,1961-08-17
155,3,1962-04-16
155,1,1962-06-01
155,600,1962-08-05
155,40,1962-11-28
155,22,1963-01-18
155,218,1963-02-14
155,81,1963-02-22
156,40,1962-10-13
157,100,1955-04-08
158,200,1957-05-04
159,1,1959-03-11
159,1,1961-03-24
159,1,1961-04-11
159,30,1961-05-27
160,400,1958-09-18
160,1,1961-05-31
160,100,1961-10-06
161,1,1959-06-07
161,100,1959-12-19
162,220,1959-04-19
162,1,1960-08-08
162,60,1961-06-18
162,400,1962-08-01
163,1,1961-07-29
164,100,1961-06-28
165,353,1962-08-05
165,22,1962-09-12
165,22,1962-11-19
167,36,1960-03-04
167,1,1962-07-04
168,1,1959-09-08
168,19,1962-10-25
169,1,1957-10-15
169,100,1957-11-21
169,1400,1961-12-26
169,2,1962-01-30
170,48,1959-04-13
171,1,1958-04-28
171,1100,1960-07-01
172,1,1958-05-19
172,1,1959-03-16
172,1,1959-09-15
172,1,1959-11-01
173,2600,1962-04-14
173,400,1962-06-27
173,19,1962-09-05
174,1,1961-11-05
175,1,1957-04-04
175,200,1960-04-22
175,100,1961-04-15
175,1,1961-05-16
175,400,1962-04-28
176,100,1956-10-24
176,400,1962-10-17
176,1,1962-10-17
177,200,1961-12-25
177,40,1962-11-29
177,1,1962-11-29
178,1,1962-05-05
179,200,1957-10-06
179,200,1958-11-09
179,100,1959-04-06
179,100,1960-11-20
179,19,1961-07-17
179,200,1961-08-16
179,19,1962-02-27
180,1,1961-11-26
181,114,1959-09-26
181,1,1960-08-07
181,200,1962-05-24
182,100,1960-09-08
182,30,1961-02-23
183,100,1960-11-03
184,200,1954-06-06
184,200,1960-06-11
184,1,1960-06-18
184,1,1960-07-02
184,1,1960-08-13
184,22,1960-12-02
184,19,1960-12-07
184,114,1961-04-14
184,1,1961-06-01
184,1,1962-02-17
184,1,1962-02-17
184,19,1963-07-27
184,19,1963-08-13
184,63,1963-11-08
185,1,1962-04-24
185,19,1962-06-28
186,114,1961-10-11
187,200,1959-02-05
187,100,1959-02-20
187,1,1961-08-03
187,600,1962-02-06
188,122,1957-07-14
188,200,1957-10-06
188,100,1959-04-06
189,1,1961-03-07
189,19,1962-09-23
190,1,1961-06-20
191,1,1962-08-11
192,518,1961-02-20
193,19,1961-06-06
193,19,1963-07-16
193,22,1963-10-08
194,1,1960-05-04
194,1,1960-09-23
195,19,1959-07-19
196,1,1960-05-17
196,200,1960-06-15
196,30,1960-11-17
197,1,1960-03-25
197,200,1960-09-13
198,1,1957-07-03
199,1,1957-08-18
199,200,1958-10-24
199,300,1958-11-18
199,1,1958-11-18
199,100,1960-07-22
199,1,1961-10-08
200,1,1958-03-24
201,1,1958-01-05
201,19,1962-08-17
202,30,1960-02-06
203,30,1956-04-25
203,300,1956-07-24
203,1,1956-10-16
203,30,1956-10-26
203,22,1959-03-14
203,100,1959-05-24
203,100,1960-01-27
203,100,1960-07-01
203,30,1961-01-27
203,200,1961-05-30
203,19,1963-01-21
203,114,1963-03-19
203,100,1963-03-28
203,200,1963-05-13
204,300,1961-01-21
204,19,1961-02-21
204,1,1961-05-18
204,1,1961-06-28
204,300,1961-08-11
205,1,1960-03-12
205,19,1962-07-15
205,40,1963-04-19
206,30,1960-06-05
206,1,1960-07-10
206,100,1961-02-03
206,1,1961-02-21
206,30,1961-06-06
206,1,1962-03-03
206,1100,1962-05-13
207,1,1960-07-20
207,100,1960-09-01
207,1,1962-04-15
207,19,1962-05-27
207,19,1962-11-03
207,40,1963-02-10
207,300,1963-02-26
208,19,1958-01-04
208,1,1959-06-07
208,3,1961-03-16
208,63,1961-10-24
208,83,1962-04-14
208,200,1962-12-23
208,218,1963-03-08
208,200,1963-06-19
209,1,1959-07-07
209,1,1962-10-23
210,1,1958-11-22
211,1,1961-11-04
212,1,1955-07-15
212,1,1961-03-07
213,1,1962-05-04
214,160,1961-03-15
214,1,1961-11-22
215,100,1962-04-20
215,1,1962-06-15
215,63,1962-12-01
216,30,1962-11-09
217,1,1961-01-22
218,1,1962-05-26
219,1,1961-11-22
220,1,1961-10-12
220,1,1962-03-07
221,1,1960-12-05
222,100,1963-02-21
222,353,1963-03-13
223,100,1960-09-10
224,1,1962-06-30
225,19,1963-07-24
226,40,1954-02-12
226,100,1956-09-21
226,1,1957-06-04
226,400,1957-06-10
226,300,1957-06-12
226,1,1957-06-25
226,19,1957-08-08
226,300,1957-08-16
226,300,1957-08-26
226,300,1957-08-30
226,300,1957-08-31
226,300,1957-09-02
226,300,1957-09-02
226,300,1957-09-06
226,300,1957-09-08
226,152,1959-02-06
227,19,1963-01-25
228,100,1961-07-07
228,40,1961-11-11
229,200,1963-06-09
230,1,1959-04-06
230,122,1960-03-30
230,30,1960-03-31
230,152,1960-04-21
230,300,1960-07-03
230,401,1960-07-08
231,30,1956-11-17
231,60,1958-07-22
231,30,1959-11-09
231,30,1959-11-24
231,152,1960-05-21
232,19,1961-01-18
233,300,1959-11-26
235,60,1959-09-03
235,100,1959-11-26
235,63,1960-06-06
235,200,1963-02-23
236,40,1960-04-30
236,1,1960-05-25
236,1,1960-08-27
236,1,1960-10-30
236,87,1960-11-01
237,19,1962-05-07
237,19,1963-01-06
238,200,1960-03-20
238,200,1960-04-20
238,200,1960-06-04
238,1,1962-02-22
239,100,1960-03-01
239,30,1961-02-17
239,200,1961-11-19
239,58,1962-09-10
239,40,1963-04-13
239,40,1963-06-01
240,1,1961-08-19
240,1,1962-02-04
241,1,1962-07-14
242,22,1962-11-23
244,100,1962-03-02
245,100,1959-06-19
246,1,1957-02-11
246,235,1957-07-19
246,200,1961-08-11
246,1,1961-08-11
246,30,1962-04-30
247,1,1957-06-22
248,220,1954-08-08
249,1,1957-07-08
249,152,1958-03-08
249,200,1962-03-23
249,300,1962-10-20
249,19,1963-04-05
249,100,1963-04-30
250,207,1961-12-11
251,1,1960-11-05
252,40,1961-12-01
253,100,1960-11-07
253,200,1962-12-14
253,40,1963-06-29
254,300,1961-07-20
255,100,1960-03-30
255,200,1961-06-18
255,200,1961-12-01
256,1,1960-08-17
257,87,1960-08-01
258,200,1960-11-27
259,1,1960-12-23
259,19,1961-03-15
259,400,1963-07-10
260,1,1961-05-19
261,300,1956-10-29
261,1,1959-05-19
261,100,1960-09-30
262,200,1958-06-30
263,1,1960-04-03
263,19,1961-06-29
263,19,1963-05-02
264,1,1961-12-16
264,400,1961-12-16
265,100,1959-02-28
265,1,1959-09-29
266,36,1962-06-23
267,100,1956-09-16
267,100,1959-09-19
268,200,1962-06-20
269,1,1961-06-12
270,300,1958-04-13
271,30,1961-05-10
273,1,1959-05-21
273,100,1959-05-28
273,100,1959-06-17
273,1,1959-06-17
273,19,1959-06-22
273,300,1959-07-07
273,200,1959-07-22
273,200,1959-09-01
273,501,1959-09-14
273,300,1962-04-17
273,122,1962-08-19
273,207,1962-11-09
273,300,1963-01-22
273,300,1963-03-13
274,220,1954-08-11
274,200,1960-03-25
274,200,1960-12-05
274,30,1960-12-06
274,41,1962-08-28
275,300,1962-07-16
276,22,1960-11-26
277,1,1958-08-27
278,100,1956-01-10
278,100,1956-03-01
278,235,1957-07-10
278,152,1957-07-11
278,122,1960-08-26
278,400,1962-06-06
278,30,1962-12-27
280,114,1962-06-02
280,400,1962-07-06
281,1,1961-06-12
281,353,1962-06-20
282,1,1961-05-29
283,114,1958-04-23
283,400,1961-11-05
283,207,1961-11-12
283,30,1962-10-02
284,1,1961-01-30
285,100,1956-05-15
285,100,1959-05-26
286,1,1959-01-19
287,1,1959-06-09
287,300,1961-04-02
287,1,1961-09-07
287,700,1962-03-13
288,1,1959-02-02
289,207,1954-08-23
289,19,1959-04-19
289,300,1959-07-21
289,1,1959-12-12
289,200,1959-12-30
289,200,1960-08-02
289,100,1961-08-02
289,1,1961-08-02
289,1,1962-01-21
289,300,1963-01-06
290,100,1960-03-17
291,400,1962-11-09
291,40,1963-02-19
292,152,1960-12-26
292,1,1962-02-27
292,200,1962-10-09
293,1,1958-04-24
293,1,1961-03-28
293,1,1962-01-23
294,152,1958-06-23
295,400,1957-01-11
295,19,1959-09-29
295,200,1960-09-27
295,1,1960-09-27
295,19,1961-02-18
295,700,1961-11-10
295,1,1963-02-09
295,100,1963-03-28
296,1,1962-10-18
297,235,1962-01-04
298,1,1961-08-09
299,200,1963-04-20
301,1,1961-05-11
302,400,1960-10-19
302,19,1961-03-21
303,100,1954-09-06
303,1,1957-05-31
303,400,1959-11-14
303,200,1959-12-12
303,100,1961-10-15
303,22,1961-10-24
303,100,1962-05-24
303,19,1962-07-20
303,100,1962-10-15
303,40,1963-04-26
304,1,1962-05-29
306,1,1961-01-17
307,19,1956-10-18
307,1,1957-02-27
307,1,1959-01-07
307,200,1960-10-24
307,1,1960-10-28
307,30,1960-11-15
307,30,1961-03-16
307,1,1961-03-21
307,200,1961-04-18
307,30,1962-02-09
307,300,1962-03-27
308,1,1960-09-12
308,400,1961-03-10
309,1,1959-05-15
309,122,1961-01-31
309,100,1962-02-03
310,200,1963-05-10
311,100,1960-07-30
311,200,1961-07-11
311,200,1962-01-05
311,200,1962-01-17
311,200,1962-05-17
311,19,1962-10-04
311,1100,1963-08-29
312,1,1962-02-01
312,114,1962-05-05
312,19,1962-10-20
312,100,1962-10-28
312,63,1963-10-12
312,19,1963-10-12
312,400,1963-10-15
314,200,1961-12-23
314,235,1963-01-09
316,1500,1959-04-11
317,1,1962-06-21
318,100,1959-04-28
318,100,1961-09-28
319,100,1959-03-25
319,122,1959-04-20
319,100,1959-10-10
319,700,1960-09-29
320,200,1959-11-26
321,1,1958-05-11
321,1,1961-02-08
321,300,1961-04-09
321,1,1961-06-26
321,400,1962-11-15
322,1,1962-12-07
323,3,1955-10-26
324,19,1961-03-16
325,19,1959-01-03
326,353,1958-12-27
326,1,1960-06-22
328,40,1962-10-11
329,1,1957-08-01
329,200,1959-10-28
329,200,1960-12-05
329,200,1961-07-16
329,200,1961-07-16
330,19,1961-10-15
331,200,1957-06-18
331,300,1960-01-31
331,30,1960-02-04
331,22,1961-07-17
331,100,1961-09-07
332,235,1952-11-28
332,1,1954-10-18
333,200,1958-05-10
334,1,1958-05-14
334,1,1961-04-03
335,200,1961-03-25
335,600,1961-09-21
335,100,1961-12-24
335,200,1962-01-02
336,22,1961-09-30
336,1,1962-02-16
336,1,1962-08-16
336,1,1962-08-16
337,19,1956-07-02
337,1,1956-07-02
337,1,1959-05-31
337,20,1961-06-24
338,3,1958-06-05
339,1,1962-10-07
340,40,1961-12-01
341,200,1956-03-14
341,600,1957-09-27
341,1,1959-03-06
341,40,1959-09-18
341,1,1960-06-23
342,19,1961-01-18
343,22,1961-04-25
343,40,1961-12-08
344,1,1962-03-24
345,1,1962-07-28
346,300,1963-04-20
347,63,1963-03-22
348,200,1961-02-23
349,19,1961-02-27
350,800,1960-08-11
350,400,1961-09-27
350,200,1962-03-30
350,300,1962-08-29
351,200,1957-06-18
351,300,1958-04-29
351,1,1958-05-27
351,63,1962-10-11
351,131,1963-05-06
351,40,1963-08-09
352,3,1956-09-28
352,400,1962-03-20
353,400,1961-03-22
354,1,1962-08-28
355,74,1960-05-07
356,1,1962-04-07
357,200,1962-08-31
357,63,1962-10-26
357,63,1962-11-10
358,3,1957-10-30
358,1,1959-08-16
358,1,1961-06-19
358,400,1962-06-20
358,40,1962-07-13
358,74,1962-08-19
359,19,1955-02-02
359,19,1955-12-12
360,300,1959-06-18
361,1,1959-06-03
362,1300,1961-12-16
363,19,1954-08-03
363,3,1957-01-21
364,1,1954-07-16
364,60,1954-12-29
364,100,1956-05-19
364,114,1956-11-02
364,100,1958-10-23
364,1,1959-05-06
364,100,1960-01-11
364,300,1960-01-28
364,1,1960-05-26
364,1,1960-08-09
364,1,1960-10-13
364,400,1960-10-29
365,100,1963-06-13
366,1,1961-03-26
366,30,1962-02-07
367,300,1957-04-01
367,30,1961-12-23
367,600,1962-01-15
367,1,1962-10-20
368,3,1955-05-30
368,1,1958-05-30
368,1,1959-12-16
369,1,1959-04-29
369,100,1961-08-06
369,1,1961-10-06
370,200,1962-11-12
371,100,1957-09-23
371,1300,1961-10-21
372,353,1962-10-09
372,200,1962-11-18
373,152,1956-08-07
373,200,1957-05-15
373,100,1957-07-30
373,200,1957-11-02
373,63,1963-06-13
374,100,1958-04-21
374,1,1958-04-21
374,1,1959-03-18
375,100,1961-07-11
376,207,1959-06-03
376,353,1961-11-24
376,1,1962-10-25
376,1,1963-07-04
377,152,1956-12-31
377,200,1957-06-07
378,100,1959-08-27
379,19,1962-02-01
379,1,1962-08-29
379,22,1963-08-13
380,100,1956-06-20
380,30,1960-02-29
380,100,1960-07-28
381,19,1961-06-14
382,400,1960-12-26
382,22,1961-05-20
382,19,1961-09-11
383,356,1960-04-29
384,100,1962-07-20
385,100,1963-11-11
387,100,1961-05-22
387,1,1962-07-28
387,22,1962-11-23
387,40,1963-06-29
388,19,1955-08-19
388,500,1956-07-02
388,1,1957-07-14
388,1,1959-05-19
388,87,1959-09-29
388,207,1962-02-24
388,1,1963-06-18
388,400,1963-07-06
389,1,1958-05-29
389,100,1962-03-03
390,1,1959-10-05
390,22,1961-10-10
391,100,1960-03-28
391,1,1962-03-04
391,100,1963-03-03
392,353,1960-11-02
392,1800,1961-09-18
393,152,1954-12-06
393,100,1959-02-17
393,300,1959-10-17
393,1,1959-10-22
393,400,1961-04-12
393,100,1962-07-25
394,1,1962-06-22
394,1,1962-11-11
395,1,1956-10-07
395,100,1958-06-08
395,100,1959-07-24
395,1,1959-07-24
395,114,1960-01-30
395,218,1960-08-08
396,353,1962-12-08
397,200,1962-04-28
398,63,1960-08-20
398,600,1961-03-24
398,100,1962-12-08
399,1,1960-08-23
399,19,1962-02-19
399,400,1962-06-06
400,19,1955-11-05
400,100,1959-01-02
400,207,1959-10-28
400,100,1962-06-01
401,100,1960-02-27
402,100,1961-02-10
402,19,1962-01-08
402,63,1962-07-28
402,1,1962-10-18
403,207,1961-03-16
403,1,1961-03-29
403,400,1961-07-30
403,1,1962-12-07
403,300,1963-03-03
404,100,1962-03-18
405,1,1957-07-25
405,300,1958-07-08
405,1,1958-07-08
405,200,1959-07-22
405,1,1960-01-02
405,123,1960-11-18
405,200,1960-11-26
406,353,1959-05-09
407,300,1962-12-03
407,100,1963-02-02
407,100,1963-02-02
407,100,1963-02-02
407,300,1963-02-02
408,1,1960-10-14
408,300,1960-10-25
408,1,1961-10-31
409,1,1959-06-03
409,100,1959-07-23
409,1,1961-03-26
409,22,1963-06-11
410,100,1957-02-10
410,200,1958-02-22
410,100,1958-03-17
410,200,1958-05-05
410,1,1959-01-04
410,200,1959-02-06
410,1,1959-02-10
410,114,1959-09-21
410,114,1960-05-27
410,100,1960-08-16
410,19,1960-09-27
410,114,1960-11-23
410,114,1961-03-07
410,1,1961-07-25
410,1,1961-08-11
410,1,1961-10-17
410,19,1961-10-21
410,22,1961-10-28
410,40,1961-12-01
410,1,1962-04-17
410,600,1962-11-22
410,40,1962-11-22
411,1,1958-01-28
411,1,1958-04-03
411,1000,1959-06-04
412,100,1960-07-31
413,300,1963-05-13
414,300,1960-09-10
414,300,1961-08-19
414,1,1962-02-11
414,30,1962-03-20
415,1,1962-04-19
415,40,1962-10-26
416,3,1960-06-23
416,1,1960-06-23
416,200,1960-11-12
416,1,1960-11-12
416,235,1961-01-15
417,1,1961-06-09
418,1,1958-11-26
419,300,1959-11-08
419,20,1962-01-19
419,40,1962-09-28
419,19,1962-12-01
420,1,1958-08-07
420,1,1959-05-30
420,200,1959-09-24
420,100,1960-06-30
420,100,1961-10-13
420,201,1963-01-07
421,1,1961-10-13
421,114,1962-01-18
422,1,1960-01-01
422,30,1960-10-14
422,353,1961-07-19
423,1,1961-09-06
424,3,1959-12-29
425,600,1960-11-18
425,71,1963-04-07
426,400,1961-02-22
427,200,1957-01-29
427,36,1960-04-19
427,22,1960-09-10
427,900,1961-01-06
427,200,1962-07-09
427,40,1963-01-17
428,1,1960-11-27
429,200,1959-01-15
429,1,1959-04-21
429,20,1959-04-23
429,152,1959-04-30
429,200,1959-05-17
