Mo-Yr,violent-crime,violent-crimeclearances,violent-crimerate,violent-crimeclearancerate,population,participated_population,aggravated-assault,aggravated-assaultclearances,aggravated-assaultrate,aggravated-assaultclearancerate,robbery,robberyclearances,robberyrate,robberyclearancerate,arson,arsonclearances,arsonrate,arsonclearancerate,homicide,homicideclearances,homiciderate,homicideclearancerate,burglary,burglaryclearances,burglaryrate,burglaryclearancerate,motor-vehicle-theft,motor-vehicle-theftclearances,motor-vehicle-theftrate,motor-vehicle-theftclearancerate,larceny,larcenyclearances,larcenyrate,larcenyclearancerate,rape,rapeclearances,raperate,rapeclearancerate,property-crime,property-crimeclearances,property-crimerate,property-crimeclearancerate,Date
12-1989,320206.0,128173.0,138.29,55.35,248248537,231548190.0,104567.0,32766.0,45.16,14.15,71706.0,8835.0,30.97,3.82,14588.0,1084.0,6.3,0.47,2437.0,1127.0,1.05,0.49,369179.0,28542.0,159.44,12.33,169038.0,17327.0,73.0,7.48,857248.0,115609.0,370.22,49.93,9134.0,3160.0,3.94,1.36,1410053.0,162562.0,608.97,70.21,1989-12-01
01-1990,302218.0,163617.0,127.16,68.84,248709873,237662410.0,74872.0,44131.0,31.5,18.57,55208.0,14039.0,23.23,5.91,8849.0,1314.0,3.72,0.55,1944.0,1305.0,0.82,0.55,260951.0,35745.0,109.8,15.04,135910.0,21057.0,57.19,8.86,624853.0,133495.0,262.92,56.17,7216.0,3843.0,3.04,1.62,1030563.0,191611.0,433.62,80.62,1990-01-01
02-1990,271156.0,146651.0,114.19,61.76,248709873,237467083.0,67744.0,39495.0,28.53,16.63,46081.0,11789.0,19.41,4.96,7201.0,1239.0,3.03,0.52,1681.0,1237.0,0.71,0.52,220515.0,31937.0,92.86,13.45,120332.0,17808.0,50.67,7.5,566370.0,123277.0,238.5,51.91,6320.0,3262.0,2.66,1.37,914418.0,174261.0,385.07,73.38,1990-02-01
03-1990,313308.0,169859.0,132.14,71.64,248709873,237098175.0,79070.0,45948.0,33.35,19.38,49297.0,13788.0,20.79,5.82,8509.0,1371.0,3.59,0.58,1867.0,1281.0,0.79,0.54,238768.0,34215.0,100.7,14.43,133280.0,20763.0,56.21,8.76,628529.0,135712.0,265.09,57.24,7474.0,3969.0,3.15,1.67,1009086.0,192061.0,425.6,81.0,1990-03-01
04-1990,314093.0,165786.0,132.5,69.94,248709873,237048757.0,82721.0,45631.0,34.9,19.25,45440.0,12568.0,19.17,5.3,8096.0,1349.0,3.42,0.57,1733.0,1183.0,0.73,0.5,229283.0,31634.0,96.72,13.34,125470.0,18444.0,52.93,7.78,606180.0,122550.0,255.72,51.7,7588.0,3837.0,3.2,1.62,969029.0,173977.0,408.79,73.39,1990-04-01
05-1990,341176.0,179579.0,144.22,75.91,248709873,236558302.0,91626.0,49960.0,38.73,21.12,48257.0,12175.0,20.4,5.15,8408.0,1362.0,3.55,0.58,1921.0,1283.0,0.81,0.54,238789.0,33506.0,100.94,14.16,129320.0,18998.0,54.67,8.03,635315.0,126046.0,268.57,53.28,8529.0,4197.0,3.61,1.77,1011832.0,179912.0,427.73,76.05,1990-05-01
06-1990,351887.0,187881.0,148.95,79.53,248709873,236237939.0,95314.0,52638.0,40.35,22.28,48724.0,12846.0,20.62,5.44,9080.0,1387.0,3.84,0.59,1982.0,1378.0,0.84,0.58,232388.0,32172.0,98.37,13.62,129223.0,19003.0,54.7,8.04,632685.0,121707.0,267.82,51.52,8414.0,4313.0,3.56,1.83,1003376.0,174269.0,424.73,73.77,1990-06-01
07-1990,368345.0,195581.0,156.18,82.93,248709873,235849319.0,101585.0,55572.0,43.07,23.56,53528.0,12704.0,22.7,5.39,10176.0,1367.0,4.31,0.58,2223.0,1454.0,0.94,0.62,259820.0,34224.0,110.16,14.51,139018.0,19957.0,58.94,8.46,677874.0,123341.0,287.42,52.3,8998.0,4660.0,3.82,1.98,1086888.0,178889.0,460.84,75.85,1990-07-01
08-1990,352597.0,189605.0,149.64,80.47,248709873,235623252.0,94252.0,53357.0,40.0,22.65,55184.0,13280.0,23.42,5.64,9056.0,1328.0,3.84,0.56,2147.0,1441.0,0.91,0.61,263247.0,35513.0,111.72,15.07,139514.0,20104.0,59.21,8.53,694641.0,130544.0,294.81,55.4,8803.0,4703.0,3.74,2.0,1106458.0,187489.0,469.59,79.57,1990-08-01
09-1990,345531.0,179814.0,146.95,76.47,248709873,235142644.0,89960.0,48928.0,38.26,20.81,54014.0,12613.0,22.97,5.36,8303.0,1186.0,3.53,0.5,2113.0,1341.0,0.9,0.57,243896.0,32437.0,103.72,13.79,133685.0,19012.0,56.85,8.09,626738.0,119396.0,266.54,50.78,8538.0,4245.0,3.63,1.81,1012622.0,172031.0,430.64,73.16,1990-09-01
10-1990,327002.0,177668.0,139.71,75.91,248709873,234051915.0,82722.0,47705.0,35.34,20.38,56006.0,14221.0,23.93,6.08,8540.0,1280.0,3.65,0.55,2012.0,1395.0,0.86,0.6,248548.0,34100.0,106.19,14.57,138828.0,20023.0,59.32,8.55,658261.0,132049.0,281.25,56.42,7848.0,4223.0,3.35,1.8,1054177.0,187452.0,450.4,80.09,1990-10-01
11-1990,293223.0,153031.0,126.04,65.78,248709873,232639986.0,73573.0,40899.0,31.63,17.58,54134.0,12137.0,23.27,5.22,8497.0,1260.0,3.65,0.54,1737.0,1121.0,0.75,0.48,238170.0,29908.0,102.38,12.86,130549.0,17476.0,56.12,7.51,610210.0,122713.0,262.3,52.75,7125.0,3615.0,3.06,1.55,987426.0,171357.0,424.44,73.66,1990-11-01
12-1990,322679.0,155050.0,140.37,67.45,248709873,229879284.0,86163.0,41239.0,37.48,17.94,62001.0,12645.0,26.97,5.5,9373.0,1096.0,4.08,0.48,2246.0,1291.0,0.98,0.56,274250.0,31046.0,119.3,13.51,137946.0,17669.0,60.01,7.69,694603.0,135507.0,302.16,58.95,7544.0,3623.0,3.28,1.58,1116172.0,185318.0,485.55,80.62,1990-12-01
01-1991,280285.0,151019.0,120.1,64.71,252181000,233375212.0,68789.0,40834.0,29.48,17.5,57402.0,13639.0,24.6,5.84,7408.0,1129.0,3.17,0.48,1891.0,1192.0,0.81,0.51,233843.0,31804.0,100.2,13.63,130877.0,18343.0,56.08,7.86,580351.0,125168.0,248.68,53.63,6662.0,3706.0,2.85,1.59,952479.0,176444.0,408.13,75.61,1991-01-01
02-1991,264016.0,138767.0,113.23,59.52,252181000,233160590.0,65457.0,36853.0,28.07,15.81,49635.0,11502.0,21.29,4.93,7503.0,1313.0,3.22,0.56,1654.0,1109.0,0.71,0.48,211146.0,29386.0,90.56,12.6,118985.0,16196.0,51.03,6.95,555738.0,119897.0,238.35,51.42,6483.0,3444.0,2.78,1.48,893372.0,166792.0,383.16,71.54,1991-02-01
03-1991,308817.0,160345.0,132.65,68.88,252181000,232797314.0,79436.0,43262.0,34.12,18.58,54162.0,13211.0,23.27,5.67,8283.0,1357.0,3.56,0.58,1894.0,1213.0,0.81,0.52,239601.0,32590.0,102.92,14.0,133892.0,18048.0,57.51,7.75,627756.0,132025.0,269.66,56.71,7696.0,3964.0,3.31,1.7,1009532.0,184020.0,433.65,79.05,1991-03-01
04-1991,310084.0,159179.0,133.23,68.39,252181000,232737417.0,79733.0,42491.0,34.26,18.26,48894.0,11893.0,21.01,5.11,8082.0,1440.0,3.47,0.62,1840.0,1180.0,0.79,0.51,227557.0,31457.0,97.77,13.52,123542.0,17212.0,53.08,7.4,601156.0,121446.0,258.3,52.18,7581.0,3821.0,3.26,1.64,960337.0,171555.0,412.63,73.71,1991-04-01
05-1991,339973.0,176696.0,146.49,76.14,252181000,232081532.0,89145.0,47631.0,38.41,20.52,50999.0,12463.0,21.97,5.37,8443.0,1385.0,3.64,0.6,1910.0,1210.0,0.82,0.52,238230.0,32415.0,102.65,13.97,127619.0,17472.0,54.99,7.53,626794.0,121857.0,270.07,52.51,8391.0,4244.0,3.62,1.83,1001086.0,173129.0,431.35,74.6,1991-05-01
06-1991,349880.0,174525.0,150.88,75.26,252181000,231898353.0,95310.0,48440.0,41.1,20.89,53065.0,11630.0,22.88,5.02,8831.0,1370.0,3.81,0.59,2085.0,1290.0,0.9,0.56,243073.0,31016.0,104.82,13.37,134200.0,17045.0,57.87,7.35,655890.0,120163.0,282.84,51.82,8780.0,4203.0,3.79,1.81,1041994.0,169594.0,449.33,73.13,1991-06-01
07-1991,353574.0,182209.0,152.95,78.82,252181000,231167453.0,95162.0,50268.0,41.17,21.75,55488.0,12657.0,24.0,5.48,9670.0,1433.0,4.18,0.62,2172.0,1395.0,0.94,0.6,263210.0,34093.0,113.86,14.75,137601.0,18685.0,59.52,8.08,682082.0,122240.0,295.06,52.88,8685.0,4362.0,3.76,1.89,1092563.0,176451.0,472.63,76.33,1991-07-01
08-1991,359485.0,181484.0,155.81,78.66,252181000,230724799.0,97215.0,50413.0,42.13,21.85,58501.0,12871.0,25.36,5.58,9125.0,1416.0,3.95,0.61,2213.0,1316.0,0.96,0.57,264051.0,34754.0,114.44,15.06,140202.0,18695.0,60.77,8.1,686154.0,125156.0,297.39,54.24,8887.0,4483.0,3.85,1.94,1099532.0,180021.0,476.56,78.02,1991-08-01
09-1991,342560.0,172848.0,148.57,74.96,252181000,230572615.0,92457.0,48102.0,40.1,20.86,57638.0,12932.0,25.0,5.61,8107.0,1121.0,3.52,0.49,2115.0,1380.0,0.92,0.6,253425.0,32405.0,109.91,14.05,133850.0,17766.0,58.05,7.71,632054.0,118336.0,274.12,51.32,8454.0,4189.0,3.67,1.82,1027436.0,169628.0,445.6,73.57,1991-09-01
10-1991,330685.0,170987.0,143.52,74.21,252181000,230412847.0,83942.0,46174.0,36.43,20.04,60273.0,13523.0,26.16,5.87,8607.0,1525.0,3.74,0.66,2025.0,1324.0,0.88,0.57,243553.0,32841.0,105.7,14.25,135858.0,18397.0,58.96,7.98,642256.0,126741.0,278.74,55.01,7912.0,4070.0,3.43,1.77,1030274.0,179504.0,447.14,77.91,1991-10-01
11-1991,299118.0,148534.0,130.22,64.66,252181000,229709441.0,74737.0,39223.0,32.54,17.08,57420.0,11694.0,25.0,5.09,7997.0,1187.0,3.48,0.52,1826.0,1141.0,0.79,0.5,226818.0,27976.0,98.74,12.18,133649.0,16670.0,58.18,7.26,583752.0,118577.0,254.13,51.62,7157.0,3598.0,3.12,1.57,952216.0,164410.0,414.53,71.57,1991-11-01
12-1991,380508.0,174191.0,164.57,75.34,252181000,231208444.0,128461.0,54766.0,55.56,23.69,73405.0,14696.0,31.75,6.36,11243.0,1379.0,4.86,0.6,3072.0,1864.0,1.33,0.81,359361.0,39195.0,155.43,16.95,168736.0,20472.0,72.98,8.85,879619.0,157528.0,380.44,68.13,10865.0,4768.0,4.7,2.06,1418959.0,218574.0,613.71,94.54,1991-12-01
01-1992,316573.0,172761.0,132.32,72.21,255081000,239242154.0,76439.0,45243.0,31.95,18.91,58455.0,13918.0,24.43,5.82,8136.0,1307.0,3.4,0.55,1883.0,1213.0,0.79,0.51,238974.0,33110.0,99.89,13.84,134735.0,19054.0,56.32,7.96,602523.0,135187.0,251.85,56.51,6834.0,3737.0,2.86,1.56,984368.0,188658.0,411.45,78.86,1992-01-01
02-1992,312071.0,166940.0,130.47,69.79,255081000,239189011.0,76083.0,43813.0,31.81,18.32,52043.0,13273.0,21.76,5.55,7866.0,1365.0,3.29,0.57,1723.0,1143.0,0.72,0.48,213382.0,30412.0,89.21,12.71,121202.0,17087.0,50.67,7.14,568689.0,126866.0,237.76,53.04,7356.0,3711.0,3.08,1.55,911139.0,175730.0,380.93,73.47,1992-02-01
03-1992,349645.0,189307.0,146.43,79.28,255081000,238781548.0,87346.0,49527.0,36.58,20.74,54959.0,15203.0,23.02,6.37,8321.0,1398.0,3.48,0.59,1979.0,1314.0,0.83,0.55,239371.0,33473.0,100.25,14.02,130672.0,18616.0,54.72,7.8,638273.0,137542.0,267.3,57.6,8746.0,4533.0,3.66,1.9,1016637.0,191029.0,425.76,80.0,1992-03-01
04-1992,351084.0,186939.0,147.24,78.4,255081000,238440132.0,89579.0,50268.0,37.57,21.08,50446.0,13084.0,21.16,5.49,9225.0,1298.0,3.87,0.54,1828.0,1218.0,0.77,0.51,215282.0,30225.0,90.29,12.68,119877.0,17280.0,50.28,7.25,592406.0,125185.0,248.45,52.5,8173.0,4149.0,3.43,1.74,936790.0,173988.0,392.88,72.97,1992-04-01
05-1992,374554.0,197103.0,157.32,82.79,255081000,238086139.0,95305.0,51557.0,40.03,21.65,51167.0,12565.0,21.49,5.28,10506.0,1421.0,4.41,0.6,1923.0,1196.0,0.81,0.5,224482.0,30691.0,94.29,12.89,124513.0,17070.0,52.3,7.17,601148.0,117498.0,252.49,49.35,8613.0,4250.0,3.62,1.79,960649.0,166680.0,403.49,70.01,1992-05-01
06-1992,375640.0,195344.0,157.83,82.08,255081000,237998863.0,96801.0,52079.0,40.67,21.88,53572.0,13062.0,22.51,5.49,9596.0,1341.0,4.03,0.56,1889.0,1175.0,0.79,0.49,237003.0,31328.0,99.58,13.16,131394.0,16885.0,55.21,7.09,656148.0,121363.0,275.69,50.99,8888.0,4506.0,3.73,1.89,1034141.0,170917.0,434.52,71.81,1992-06-01
07-1992,376975.0,201607.0,158.63,84.84,255081000,237643409.0,96972.0,53755.0,40.81,22.62,54461.0,12446.0,22.92,5.24,9713.0,1354.0,4.09,0.57,2117.0,1371.0,0.89,0.58,245887.0,32063.0,103.47,13.49,135659.0,17912.0,57.09,7.54,661633.0,119097.0,278.41,50.12,9048.0,4486.0,3.81,1.89,1052892.0,170426.0,443.06,71.72,1992-07-01
08-1992,373471.0,193178.0,157.81,81.63,255081000,236663909.0,94039.0,50876.0,39.74,21.5,55510.0,12266.0,23.46,5.18,8816.0,1254.0,3.73,0.53,2158.0,1273.0,0.91,0.54,247601.0,31231.0,104.62,13.2,135787.0,18228.0,57.38,7.7,661325.0,120207.0,279.44,50.79,9187.0,4372.0,3.88,1.85,1053529.0,170920.0,445.16,72.22,1992-08-01
09-1992,367449.0,194091.0,155.54,82.16,255081000,236248112.0,92692.0,50884.0,39.24,21.54,55779.0,13024.0,23.61,5.51,7939.0,1098.0,3.36,0.46,2061.0,1275.0,0.87,0.54,242175.0,30470.0,102.51,12.9,131264.0,17925.0,55.56,7.59,638369.0,118541.0,270.21,50.18,8805.0,4290.0,3.73,1.82,1019747.0,168034.0,431.64,71.13,1992-09-01
10-1992,359974.0,190192.0,152.68,80.67,255081000,235771739.0,87706.0,49317.0,37.2,20.92,56422.0,13055.0,23.93,5.54,8363.0,1119.0,3.55,0.47,1838.0,1155.0,0.78,0.49,228126.0,30072.0,96.76,12.75,131071.0,18182.0,55.59,7.71,620159.0,121070.0,263.03,51.35,8003.0,4233.0,3.39,1.8,987719.0,170443.0,418.93,72.29,1992-10-01
11-1992,322857.0,167159.0,136.87,70.87,255081000,235881706.0,77660.0,42786.0,32.92,18.14,53854.0,11615.0,22.83,4.92,7552.0,1084.0,3.2,0.46,1857.0,1136.0,0.79,0.48,223446.0,26260.0,94.73,11.13,127539.0,16090.0,54.07,6.82,572969.0,111322.0,242.91,47.19,7323.0,3533.0,3.1,1.5,931506.0,154756.0,394.9,65.61,1992-11-01
12-1992,386299.0,201113.0,162.25,84.47,255081000,238083715.0,109759.0,61774.0,46.1,25.95,65904.0,14465.0,27.68,6.08,7946.0,1193.0,3.34,0.5,2566.0,1844.0,1.08,0.77,295615.0,37744.0,124.16,15.85,148056.0,20382.0,62.19,8.56,754427.0,157798.0,316.87,66.28,9536.0,5055.0,4.01,2.12,1206044.0,217117.0,506.56,91.19,1992-12-01
01-1993,325755.0,175431.0,135.94,73.21,257904000,239627943.0,79485.0,45875.0,33.17,19.14,55720.0,13041.0,23.25,5.44,6941.0,1036.0,2.9,0.43,1921.0,1267.0,0.8,0.53,217881.0,28612.0,90.92,11.94,125527.0,17013.0,52.38,7.1,556151.0,117500.0,232.09,49.03,6727.0,3596.0,2.81,1.5,906500.0,164161.0,378.29,68.51,1993-01-01
02-1993,284278.0,155690.0,118.68,65.0,257904000,239533731.0,69265.0,40499.0,28.92,16.91,45069.0,10954.0,18.82,4.57,6113.0,1108.0,2.55,0.46,1622.0,1205.0,0.68,0.5,180934.0,25754.0,75.54,10.75,108699.0,14869.0,45.38,6.21,491151.0,109315.0,205.04,45.64,6059.0,3273.0,2.53,1.37,786897.0,151046.0,328.51,63.06,1993-02-01
03-1993,349831.0,187035.0,146.05,78.08,257904000,239529800.0,88314.0,49076.0,36.87,20.49,54735.0,13833.0,22.85,5.78,7069.0,1165.0,2.95,0.49,1978.0,1275.0,0.83,0.53,220117.0,29795.0,91.9,12.44,125824.0,17095.0,52.53,7.14,595953.0,124914.0,248.8,52.15,7621.0,4110.0,3.18,1.72,948963.0,172969.0,396.18,72.21,1993-03-01
04-1993,343919.0,181974.0,143.6,75.98,257904000,239492882.0,87978.0,47971.0,36.74,20.03,46609.0,11409.0,19.46,4.76,7567.0,1180.0,3.16,0.49,1789.0,1131.0,0.75,0.47,202129.0,27354.0,84.4,11.42,116014.0,15698.0,48.44,6.55,571100.0,115114.0,238.46,48.07,7138.0,3591.0,2.98,1.5,896810.0,159346.0,374.46,66.53,1993-04-01
05-1993,371218.0,196650.0,155.16,82.19,257904000,239254262.0,94497.0,51379.0,39.5,21.47,47462.0,11620.0,19.84,4.86,8481.0,1340.0,3.54,0.56,1863.0,1270.0,0.78,0.53,209925.0,27418.0,87.74,11.46,116972.0,16097.0,48.89,6.73,592062.0,113355.0,247.46,47.38,7766.0,3863.0,3.25,1.61,927440.0,158210.0,387.64,66.13,1993-05-01
06-1993,379319.0,197262.0,159.0,82.68,257904000,238571284.0,98856.0,52476.0,41.44,22.0,53595.0,12339.0,22.46,5.17,8561.0,1209.0,3.59,0.51,2158.0,1318.0,0.9,0.55,227226.0,28669.0,95.24,12.02,128443.0,16784.0,53.84,7.04,642973.0,115456.0,269.51,48.39,8294.0,4197.0,3.48,1.76,1007203.0,162118.0,422.18,67.95,1993-06-01
07-1993,385558.0,198330.0,162.08,83.37,257904000,237886680.0,100585.0,52816.0,42.28,22.2,54708.0,12623.0,23.0,5.31,9529.0,1432.0,4.01,0.6,2193.0,1315.0,0.92,0.55,234414.0,29157.0,98.54,12.26,130619.0,17457.0,54.91,7.34,650349.0,114911.0,273.39,48.3,8413.0,4120.0,3.54,1.73,1024911.0,162957.0,430.84,68.5,1993-07-01
08-1993,376923.0,194830.0,158.33,81.84,257904000,238066903.0,96635.0,51048.0,40.59,21.44,55367.0,12137.0,23.26,5.1,8816.0,1256.0,3.7,0.53,2170.0,1318.0,0.91,0.55,236297.0,30319.0,99.26,12.74,131681.0,18187.0,55.31,7.64,657784.0,116285.0,276.3,48.85,8070.0,4128.0,3.39,1.73,1034578.0,166047.0,434.57,69.75,1993-08-01
09-1993,363511.0,189063.0,152.99,79.57,257904000,237607782.0,91513.0,49618.0,38.51,20.88,55705.0,12346.0,23.44,5.2,7991.0,1169.0,3.36,0.49,2079.0,1309.0,0.87,0.55,229800.0,28654.0,96.71,12.06,128313.0,17210.0,54.0,7.24,618644.0,110839.0,260.36,46.65,7478.0,3876.0,3.15,1.63,984748.0,157872.0,414.44,66.44,1993-09-01
10-1993,359575.0,185255.0,151.86,78.24,257904000,236773333.0,88825.0,47380.0,37.51,20.01,56109.0,12207.0,23.7,5.16,8355.0,1227.0,3.53,0.52,1981.0,1261.0,0.84,0.53,217422.0,27963.0,91.83,11.81,126822.0,16878.0,53.56,7.13,608857.0,114714.0,257.15,48.45,6989.0,3508.0,2.95,1.48,961456.0,160782.0,406.07,67.91,1993-10-01
11-1993,321595.0,167755.0,135.93,70.9,257904000,236594692.0,77693.0,42291.0,32.84,17.87,53279.0,11969.0,22.52,5.06,8103.0,1194.0,3.42,0.5,1927.0,1304.0,0.81,0.55,209904.0,24642.0,88.72,10.42,121712.0,15572.0,51.44,6.58,567836.0,110588.0,240.0,46.74,6466.0,3288.0,2.73,1.39,907555.0,151996.0,383.59,64.24,1993-11-01
12-1993,389202.0,164342.0,163.54,69.06,257904000,237981241.0,95502.0,41442.0,40.13,17.41,62337.0,12462.0,26.19,5.24,8545.0,1239.0,3.59,0.52,2471.0,1429.0,1.04,0.6,254787.0,26289.0,107.06,11.05,135908.0,16113.0,57.11,6.77,689949.0,121195.0,289.92,50.93,7366.0,3522.0,3.1,1.48,1089189.0,164836.0,457.68,69.26,1993-12-01
01-1994,323991.0,174471.0,133.32,71.8,260341000,243008488.0,75506.0,43341.0,31.07,17.84,51678.0,11937.0,21.27,4.91,7575.0,1079.0,3.12,0.44,1851.0,1164.0,0.76,0.48,197003.0,26196.0,81.07,10.78,119188.0,16426.0,49.05,6.76,529665.0,111884.0,217.96,46.04,6863.0,3580.0,2.82,1.47,853431.0,155585.0,351.19,64.02,1994-01-01
02-1994,310416.0,168686.0,128.53,69.84,260341000,241521453.0,73033.0,41684.0,30.24,17.26,46066.0,11638.0,19.07,4.82,6371.0,1167.0,2.64,0.48,1703.0,1096.0,0.71,0.45,175990.0,24520.0,72.87,10.15,108504.0,15070.0,44.93,6.24,503843.0,107794.0,208.61,44.63,6682.0,3673.0,2.77,1.52,794708.0,148551.0,329.04,61.51,1994-02-01
03-1994,364433.0,193977.0,150.62,80.17,260341000,241961814.0,86383.0,48285.0,35.7,19.96,51535.0,12585.0,21.3,5.2,8342.0,1412.0,3.45,0.58,1979.0,1241.0,0.82,0.51,204724.0,28272.0,84.61,11.68,124588.0,17096.0,51.49,7.07,585983.0,123473.0,242.18,51.03,7711.0,3907.0,3.19,1.61,923637.0,170253.0,381.73,70.36,1994-03-01
04-1994,365413.0,191780.0,151.94,79.74,260341000,240492351.0,88549.0,47870.0,36.82,19.9,47799.0,11460.0,19.88,4.77,9258.0,1427.0,3.85,0.59,1845.0,1151.0,0.77,0.48,197798.0,26931.0,82.25,11.2,115976.0,15880.0,48.22,6.6,575111.0,114030.0,239.14,47.42,7659.0,3823.0,3.18,1.59,898143.0,158268.0,373.46,65.81,1994-04-01
05-1994,382068.0,199569.0,158.44,82.76,260341000,241145009.0,91549.0,49437.0,37.96,20.5,47984.0,11347.0,19.9,4.71,9204.0,1380.0,3.82,0.57,1854.0,1145.0,0.77,0.47,210274.0,27117.0,87.2,11.25,119775.0,16392.0,49.67,6.8,606832.0,116378.0,251.65,48.26,8085.0,4053.0,3.35,1.68,946085.0,161267.0,392.33,66.88,1994-05-01
06-1994,382727.0,201213.0,158.84,83.51,260341000,240951077.0,93523.0,50148.0,38.81,20.81,47595.0,10990.0,19.75,4.56,9725.0,1514.0,4.04,0.63,1865.0,1124.0,0.77,0.47,208707.0,27226.0,86.62,11.3,122161.0,17346.0,50.7,7.2,623516.0,115227.0,258.77,47.82,8557.0,4153.0,3.55,1.72,964109.0,161313.0,400.13,66.95,1994-06-01
07-1994,401331.0,209090.0,166.71,86.86,260341000,240731044.0,98601.0,52497.0,40.96,21.81,50654.0,11891.0,21.04,4.94,10168.0,1408.0,4.22,0.58,2025.0,1204.0,0.84,0.5,227524.0,27686.0,94.51,11.5,129887.0,17631.0,53.96,7.32,654355.0,114271.0,271.82,47.47,8845.0,4256.0,3.67,1.77,1021934.0,160996.0,424.51,66.88,1994-07-01
08-1994,399427.0,209760.0,167.34,87.88,260341000,238694107.0,97407.0,52438.0,40.81,21.97,52537.0,11817.0,22.01,4.95,9615.0,1460.0,4.03,0.61,2041.0,1303.0,0.86,0.55,231352.0,29423.0,96.92,12.33,132341.0,18315.0,55.44,7.67,673449.0,122011.0,282.14,51.12,8697.0,4353.0,3.64,1.82,1046757.0,171209.0,438.53,71.73,1994-08-01
09-1994,385606.0,203525.0,161.69,85.34,260341000,238481519.0,91980.0,50486.0,38.57,21.17,49367.0,11506.0,20.7,4.82,8351.0,1282.0,3.5,0.54,1858.0,1191.0,0.78,0.5,213751.0,28445.0,89.63,11.93,122672.0,17174.0,51.44,7.2,610260.0,112728.0,255.89,47.27,8044.0,3973.0,3.37,1.67,955034.0,159629.0,400.46,66.94,1994-09-01
10-1994,383707.0,200101.0,161.41,84.17,260341000,237722672.0,90484.0,49313.0,38.06,20.74,52172.0,11967.0,21.95,5.03,8858.0,1288.0,3.73,0.54,1914.0,1159.0,0.81,0.49,212180.0,27153.0,89.26,11.42,126788.0,17723.0,53.33,7.46,627364.0,118927.0,263.91,50.03,7688.0,3914.0,3.23,1.65,975190.0,165091.0,410.22,69.45,1994-10-01
11-1994,341195.0,185713.0,144.09,78.43,260341000,236791162.0,79774.0,45785.0,33.69,19.34,48499.0,13012.0,20.48,5.5,7873.0,1156.0,3.32,0.49,1774.0,1135.0,0.75,0.48,206165.0,25524.0,87.07,10.78,121474.0,16201.0,51.3,6.84,585444.0,115072.0,247.24,48.6,6569.0,3452.0,2.77,1.46,920956.0,157953.0,388.93,66.71,1994-11-01
12-1994,407636.0,186114.0,171.62,78.36,260341000,237519350.0,91931.0,45113.0,38.7,18.99,56044.0,13487.0,23.6,5.68,7838.0,1131.0,3.3,0.48,2210.0,1418.0,0.93,0.6,240457.0,27222.0,101.24,11.46,131068.0,16590.0,55.18,6.98,717725.0,129670.0,302.18,54.59,7779.0,3671.0,3.28,1.55,1097088.0,174613.0,461.89,73.52,1994-12-01
01-1995,332532.0,179554.0,141.14,76.21,262754000,235605029.0,76801.0,43506.0,32.6,18.47,47661.0,12245.0,20.23,5.2,7236.0,1209.0,3.07,0.51,1736.0,1033.0,0.74,0.44,200354.0,26790.0,85.04,11.37,119735.0,16389.0,50.82,6.96,574114.0,117566.0,243.68,49.9,6667.0,3515.0,2.83,1.49,901439.0,161954.0,382.61,68.74,1995-01-01
02-1995,303977.0,160871.0,129.0,68.27,262754000,235633164.0,71425.0,38834.0,30.31,16.48,40511.0,9956.0,17.19,4.23,6882.0,1222.0,2.92,0.52,1431.0,937.0,0.61,0.4,170944.0,23735.0,72.55,10.07,103793.0,14185.0,44.05,6.02,517491.0,107601.0,219.62,45.66,6154.0,3202.0,2.61,1.36,799110.0,146743.0,339.13,62.28,1995-02-01
03-1995,350862.0,185005.0,148.85,78.49,262754000,235714692.0,82087.0,44340.0,34.82,18.81,44848.0,11464.0,19.03,4.86,8306.0,1371.0,3.52,0.58,1600.0,1036.0,0.68,0.44,195288.0,26026.0,82.85,11.04,113863.0,15920.0,48.31,6.75,595358.0,122577.0,252.58,52.0,7344.0,3801.0,3.12,1.61,912815.0,165894.0,387.25,70.38,1995-03-01
04-1995,348645.0,180298.0,148.03,76.55,262754000,235528439.0,83825.0,43664.0,35.59,18.54,41857.0,10133.0,17.77,4.3,8398.0,1316.0,3.57,0.56,1730.0,1203.0,0.73,0.51,182570.0,24477.0,77.52,10.39,108896.0,15183.0,46.23,6.45,570257.0,112376.0,242.12,47.71,6935.0,3286.0,2.94,1.4,870121.0,153352.0,369.43,65.11,1995-04-01
05-1995,371606.0,192216.0,158.14,81.8,262754000,234988803.0,88949.0,46287.0,37.85,19.7,43428.0,10679.0,18.48,4.54,8442.0,1413.0,3.59,0.6,1664.0,988.0,0.71,0.42,200113.0,25943.0,85.16,11.04,113316.0,15863.0,48.22,6.75,615743.0,115288.0,262.03,49.06,7698.0,3838.0,3.28,1.63,937614.0,158507.0,399.0,67.45,1995-05-01
06-1995,365594.0,187973.0,156.65,80.54,262754000,233383401.0,88835.0,45852.0,38.06,19.65,44284.0,10357.0,18.97,4.44,8271.0,1297.0,3.54,0.56,1733.0,975.0,0.74,0.42,196339.0,25531.0,84.13,10.94,112981.0,15369.0,48.41,6.59,626435.0,113124.0,268.41,48.47,7358.0,3576.0,3.15,1.53,944026.0,155321.0,404.5,66.55,1995-06-01
