Mo-Yr,violent-crime,violent-crimeclearances,violent-crimerate,violent-crimeclearancerate,population,participated_population,aggravated-assault,aggravated-assaultclearances,aggravated-assaultrate,aggravated-assaultclearancerate,robbery,robberyclearances,robberyrate,robberyclearancerate,arson,arsonclearances,arsonrate,arsonclearancerate,homicide,homicideclearances,homiciderate,homicideclearancerate,burglary,burglaryclearances,burglaryrate,burglaryclearancerate,motor-vehicle-theft,motor-vehicle-theftclearances,motor-vehicle-theftrate,motor-vehicle-theftclearancerate,larceny,larcenyclearances,larcenyrate,larcenyclearancerate,rape,rapeclearances,raperate,rapeclearancerate,property-crime,property-crimeclearances,property-crimerate,property-crimeclearancerate,Date
11-1985,204897.0,107543.0,90.01,47.25,238744457,227626054.0,53137.0,32439.0,23.34,14.25,41191.0,9849.0,18.1,4.33,7520.0,1148.0,3.3,0.5,1506.0,1054.0,0.66,0.46,250211.0,32112.0,109.92,14.11,89012.0,12864.0,39.1,5.65,538360.0,106973.0,236.51,47.0,6450.0,3464.0,2.83,1.52,885103.0,153097.0,388.84,67.26,1985-11-01
12-1985,217928.0,107122.0,97.0,47.68,238744457,224658945.0,58260.0,31629.0,25.93,14.08,52248.0,10271.0,23.26,4.57,9110.0,1188.0,4.06,0.53,1885.0,1228.0,0.84,0.55,275531.0,33589.0,122.64,14.95,101040.0,12924.0,44.97,5.75,572545.0,115404.0,254.85,51.37,6442.0,3476.0,2.87,1.55,958226.0,163105.0,426.52,72.6,1985-12-01
01-1986,222039.0,113048.0,95.73,48.74,241083074,231931003.0,55958.0,32196.0,24.13,13.88,46983.0,9584.0,20.26,4.13,9097.0,1593.0,3.92,0.69,1612.0,1105.0,0.7,0.48,267395.0,36041.0,115.29,15.54,95257.0,13432.0,41.07,5.79,553739.0,111432.0,238.75,48.05,6060.0,3181.0,2.61,1.37,925488.0,162498.0,399.04,70.06,1986-01-01
02-1986,204864.0,110488.0,88.34,47.65,241083074,231896688.0,51918.0,32360.0,22.39,13.95,41446.0,10312.0,17.87,4.45,7164.0,1338.0,3.09,0.58,1453.0,1046.0,0.63,0.45,236496.0,34044.0,101.98,14.68,86045.0,12751.0,37.1,5.5,511311.0,111132.0,220.49,47.92,5700.0,3253.0,2.46,1.4,841016.0,159265.0,362.67,68.68,1986-02-01
03-1986,245444.0,128870.0,106.2,55.76,241083074,231118957.0,65012.0,38023.0,28.13,16.45,44021.0,11371.0,19.05,4.92,9540.0,1598.0,4.13,0.69,1707.0,1154.0,0.74,0.5,262853.0,36497.0,113.73,15.79,97068.0,14457.0,42.0,6.26,585936.0,121071.0,253.52,52.38,6735.0,3523.0,2.91,1.52,955397.0,173623.0,413.38,75.12,1986-03-01
04-1986,244518.0,131557.0,105.84,56.95,241083074,231024277.0,65942.0,39337.0,28.54,17.03,40874.0,11145.0,17.69,4.82,9201.0,1606.0,3.98,0.7,1654.0,1177.0,0.72,0.51,248637.0,34851.0,107.62,15.09,93947.0,14458.0,40.67,6.26,583813.0,116586.0,252.71,50.46,6870.0,3670.0,2.97,1.59,935598.0,167501.0,404.98,72.5,1986-04-01
05-1986,270295.0,143382.0,117.15,62.14,241083074,230728543.0,74514.0,42894.0,32.3,18.59,41271.0,10640.0,17.89,4.61,9825.0,1615.0,4.26,0.7,1718.0,1255.0,0.74,0.54,257210.0,35991.0,111.48,15.6,95912.0,14278.0,41.57,6.19,595449.0,114976.0,258.07,49.83,7479.0,3741.0,3.24,1.62,958396.0,166860.0,415.38,72.32,1986-05-01
06-1986,282842.0,149769.0,122.48,64.86,241083074,230922488.0,79612.0,45677.0,34.48,19.78,42820.0,11188.0,18.54,4.84,9721.0,1416.0,4.21,0.61,1733.0,1240.0,0.75,0.54,257702.0,35486.0,111.6,15.37,99214.0,14935.0,42.96,6.47,608488.0,111242.0,263.5,48.17,7826.0,3899.0,3.39,1.69,975125.0,163079.0,422.27,70.62,1986-06-01
07-1986,289540.0,153568.0,126.06,66.86,241083074,229682758.0,80978.0,47763.0,35.26,20.8,45136.0,11263.0,19.65,4.9,10402.0,1550.0,4.53,0.67,1951.0,1341.0,0.85,0.58,281732.0,37267.0,122.66,16.23,107021.0,16341.0,46.6,7.11,643881.0,114681.0,280.33,49.93,8302.0,4147.0,3.61,1.81,1043036.0,169839.0,454.12,73.95,1986-07-01
08-1986,291699.0,153882.0,127.07,67.04,241083074,229550648.0,81055.0,47650.0,35.31,20.76,49875.0,12184.0,21.73,5.31,9679.0,1450.0,4.22,0.63,1937.0,1334.0,0.84,0.58,285497.0,38230.0,124.37,16.65,113530.0,16564.0,49.46,7.22,656279.0,117318.0,285.9,51.11,8680.0,4345.0,3.78,1.89,1064985.0,173562.0,463.94,75.61,1986-08-01
09-1986,266504.0,140271.0,116.12,61.12,241083074,229512796.0,71391.0,41826.0,31.11,18.22,46123.0,11455.0,20.1,4.99,8543.0,1330.0,3.72,0.58,1891.0,1276.0,0.82,0.56,266935.0,35969.0,116.31,15.67,104211.0,15314.0,45.41,6.67,595170.0,112243.0,259.32,48.9,7691.0,3961.0,3.35,1.73,974859.0,164856.0,424.75,71.83,1986-09-01
10-1986,256529.0,139247.0,111.92,60.75,241083074,229216860.0,67559.0,41345.0,29.47,18.04,46864.0,11965.0,20.45,5.22,8678.0,1405.0,3.79,0.61,1719.0,1141.0,0.75,0.5,264551.0,36567.0,115.42,15.95,107000.0,15877.0,46.68,6.93,598913.0,116716.0,261.29,50.92,7086.0,3786.0,3.09,1.65,979142.0,170565.0,427.17,74.41,1986-10-01
11-1986,233644.0,121526.0,102.35,53.23,241083074,228284362.0,61190.0,35764.0,26.8,15.67,44239.0,10075.0,19.38,4.41,7779.0,1096.0,3.41,0.48,1667.0,1174.0,0.73,0.51,253916.0,31253.0,111.23,13.69,101836.0,13649.0,44.61,5.98,551762.0,109512.0,241.7,47.97,6561.0,3214.0,2.87,1.41,915293.0,155510.0,400.94,68.12,1986-11-01
12-1986,229409.0,119368.0,101.62,52.87,241083074,225756063.0,58989.0,35521.0,26.13,15.73,48114.0,11070.0,21.31,4.9,11534.0,1050.0,5.11,0.47,1749.0,1325.0,0.77,0.59,274138.0,34237.0,121.43,15.17,98079.0,14213.0,43.44,6.3,579534.0,119441.0,256.71,52.91,5814.0,3099.0,2.58,1.37,963285.0,168941.0,426.69,74.83,1986-12-01
01-1987,230271.0,122374.0,98.38,52.28,243406923,234058993.0,61388.0,35724.0,26.23,15.26,45856.0,11158.0,19.59,4.77,8085.0,1387.0,3.45,0.59,1578.0,1131.0,0.67,0.48,265624.0,36095.0,113.49,15.42,100485.0,14977.0,42.93,6.4,556172.0,115945.0,237.62,49.54,6165.0,3431.0,2.63,1.47,930366.0,168404.0,397.49,71.95,1987-01-01
02-1987,218184.0,115186.0,93.38,49.3,243406923,233660740.0,58225.0,33987.0,24.92,14.55,41783.0,10621.0,17.88,4.55,7964.0,1332.0,3.41,0.57,1592.0,1041.0,0.68,0.45,245283.0,34063.0,104.97,14.58,95102.0,14437.0,40.7,6.18,545301.0,114646.0,233.37,49.07,5730.0,3100.0,2.45,1.33,893650.0,164478.0,382.46,70.39,1987-02-01
03-1987,248761.0,135857.0,106.57,58.2,243406923,233432257.0,65567.0,38829.0,28.09,16.63,41987.0,11493.0,17.99,4.92,9164.0,1611.0,3.93,0.69,1662.0,1198.0,0.71,0.51,262306.0,38087.0,112.37,16.32,105826.0,15949.0,45.33,6.83,609685.0,128724.0,261.18,55.14,6831.0,3538.0,2.93,1.52,986981.0,184371.0,422.81,78.98,1987-03-01
04-1987,249957.0,137979.0,107.23,59.19,243406923,233105748.0,67165.0,39702.0,28.81,17.03,38471.0,11111.0,16.5,4.77,8644.0,1395.0,3.71,0.6,1523.0,1102.0,0.65,0.47,239442.0,35099.0,102.72,15.06,99348.0,15129.0,42.62,6.49,584455.0,120896.0,250.73,51.86,6891.0,3733.0,2.96,1.6,931889.0,172519.0,399.77,74.01,1987-04-01
05-1987,264843.0,142394.0,113.73,61.15,243406923,232865995.0,74285.0,42392.0,31.9,18.2,38325.0,10153.0,16.46,4.36,8475.0,1362.0,3.64,0.58,1696.0,1166.0,0.73,0.5,250202.0,33037.0,107.44,14.19,101079.0,14800.0,43.41,6.36,596951.0,114575.0,256.35,49.2,7570.0,3873.0,3.25,1.66,956707.0,163774.0,410.84,70.33,1987-05-01
