coord1,coord2,Total,Robbery,Weapons Offense,Homicide,Kidnapping,100 Block Address,rank,ptile
35.051,-89.886,45,29,14,1,1,Winchester//Mendenhall,73.0,0.0035296392998742866
35.145,-90.015,45,39,3,0,3,1400 Poplar,74.0,0.003577990523160236
35.108,-89.966,44,21,19,3,1,2900 Park,75.0,0.003626341746446185
35.082,-90.018,44,31,7,2,4,2300 Elvis Presley,76.0,0.0036746929697321342
35.021,-90.008,44,27,13,2,2,Shelby Near Millbranch,77.0,0.0037230441930180833
35.06,-89.86,44,13,29,2,0,6100 Knight Arnold,78.0,0.0037713954163040323
35.116,-89.946,44,35,7,0,2,600 S Higland,79.0,0.003819746639589982
35.197,-90.008,43,33,9,1,0,2700 Watkins,80.0,0.003868097862875931
35.162,-89.91,43,36,6,0,1,4600 Macon,81.0,0.0039164490861618795
35.105,-89.985,43,32,11,0,0,2400 Lamar,82.0,0.0039648003094478294
35.227,-90.003,42,27,10,3,2,3800 N WATKINS,83.0,0.0040131515327337785
35.059,-89.933,42,26,12,3,1,3300 WHITEBROOK PLZ,84.0,0.0040615027560197275
35.124,-90.047,42,29,10,2,1,500 E H Crump,85.0,0.004109853979305677
35.078,-90.019,42,34,8,0,0,Elvis Presley//Alcy,86.0,0.004158205202591626
35.042,-90.026,42,33,9,0,0,4000 ELVIS PRESLEY BL,87.0,0.004206556425877575
35.016,-90.026,42,16,26,0,0,4900 ELVIS PRESLEY,88.0,0.004254907649163524
35.143,-90.032,41,22,9,9,1,900 Jefferson,89.0,0.004303258872449473
35.021,-90.049,41,27,10,3,1,4700 Hodge,90.0,0.004351610095735422
35.108,-89.985,41,24,13,2,2,2400 PARK,91.0,0.004399961319021371
35.071,-89.908,41,35,5,1,0,4700 Cotton LN,92.0,0.00444831254230732
35.052,-89.921,41,29,10,1,1,4300 WINCHESTER RD,93.0,0.00449666376559327
35.211,-89.923,41,28,10,1,2,Raleigh - Millington//Jones,94.0,0.004545014988879219
35.174,-89.975,41,32,9,0,0,Chelsea//Hollywood,95.0,0.004593366212165168
35.08,-89.984,41,32,7,0,2,2400 Airways,96.0,0.004641717435451117
35.199,-90.008,41,27,14,0,0,Watkins//Delano,97.0,0.004690068658737066
35.108,-89.97,41,27,10,0,4,900 Pendleton,98.0,0.004738419882023015
35.051,-90.005,41,19,19,0,3,1800 Commonwealth Dr,99.0,0.004786771105308964
35.24,-89.931,41,11,30,0,0,4000 Voltaire,100.0,0.004835122328594913
